#classic,0,0.000000,75 
#paintingforsale,0,0.000000,27 
#fineartpainting,0,0.000000,4 
#photography,2,0.021277,94 
#macrophotos,0,0.000000,3 
#paintings,1,0.023810,42 
#artist,0,0.000000,92 
#macros,0,0.000000,22 
#blackandwhitephoto,0,0.000000,35 
#fisheyelens,0,0.000000,7 
#bnwcaptures,0,0.000000,2 
#macroshot,0,0.000000,5 
#bnw,0,0.000000,38 
#macrophoto,0,0.000000,17 
#edited,0,0.000000,23 
#macrocounting,0,0.000000,2 
#abstracts,0,0.000000,13 
#pourpainting,0,0.000000,17 
#macrophotography,0,0.000000,28 
#paintingart,0,0.000000,18 
#abstractartist,3,0.088235,34 
#editor,0,0.000000,31 
#paintingfun,0,0.000000,14 
#paint,0,0.000000,84 
#tagsta,0,0.000000,2 
#paintingprocess,0,0.000000,10 
#editing,2,0.032258,62 
#tagstagram,0,0.000000,2 
#paintingoncanvas,0,0.000000,8 
#watercolor,0,0.000000,50 
#paintinginprogress,0,0.000000,4 
#painting,1,0.010638,94 
#paintingvideo,0,0.000000,3 
#macro,0,0.000000,37 
#abstractpainting,0,0.000000,37 
#macro_captures_,0,0.000000,4 
#paintingoftheday,0,0.000000,18 
#abstract_art,0,0.000000,10 
#acrylicpaint,0,0.000000,11 
