#drinklocalbeer,0,0.000000,6 
#dessertgram,0,0.000000,2 
#desserts,0,0.000000,55 
#drinkwater,0,0.000000,35 
#foods,0,0.000000,92 
#winery,0,0.000000,28 
#food,0,0.000000,89 
#foodporn,0,0.000000,97 
#foodie,1,0.014286,70 
#dessert,0,0.000000,68 
#foodoftheday,0,0.000000,10 
#drinkfresh,0,0.000000,2 
#drinktea,0,0.000000,5 
#drinkin,0,0.000000,4 
#foody,0,0.000000,33 
#desserttime,0,0.000000,6 
#sushitime,0,0.000000,13 
#foodstyling,0,0.000000,21 
#sushico,0,0.000000,2 
#foodheaven,0,0.000000,9 
#drinkspecials,0,0.000000,15 
#pizza,0,0.000000,102 
#ilovesushi,0,0.000000,4 
#pizzaitaliana,0,0.000000,2 
#drinking,1,0.025000,40 
#foodphotography,0,0.000000,45 
#pizzagourmet,0,0.000000,2 
#sashimi,0,0.000000,22 
#sushi,0,0.000000,59 
#drinkinggames,0,0.000000,6 
#dailypizza,0,0.000000,4 
#winelovers,1,0.012987,77 
#foodblogfeed,0,0.000000,2 
#drinks,0,0.000000,61 
#pizzapie,0,0.000000,3 
#sushilover,0,0.000000,9 
#tagstagram,0,0.000000,2 
#foodgasm,0,0.000000,26 
#pizzalovers,0,0.000000,22 
#foodbeast,0,0.000000,6 
#dessertlovers,0,0.000000,4 
#desserttable,0,0.000000,4 
#dessertporn,0,0.000000,9 
#drinkmorewater,0,0.000000,18 
#winelover,0,0.000000,42 
#pizzapizzapizza,0,0.000000,5 
#pizzapizza,0,0.000000,15 
#drinkstagram,0,0.000000,11 
#drink,0,0.000000,77 
#sushis,0,0.000000,2 
