#yachttender,0,0.000000,2 
#realestateteam,0,0.000000,5 
#privateplane,0,0.000000,4 
#planes,0,0.000000,21 
#boat,1,0.022222,45 
#shoppingtime,0,0.000000,107 
#shoppingcart,0,0.000000,16 
#shoppingbag,0,0.000000,19 
#loveshopping,1,0.019231,52 
#realestatesales,0,0.000000,10 
#realestateadvice,0,0.000000,14 
#realestatemiami,0,0.000000,4 
#yachtlife,0,0.000000,36 
#shoppingbags,0,0.000000,3 
#realestategoals,0,0.000000,58 
#shoppingaddiction,0,0.000000,3 
#tagstagramers,0,0.000000,3 
#shoppinglover,0,0.000000,76 
#shoppingonline,1,0.014493,69 
#yachtparty,0,0.000000,13 
#realestatetips,0,0.000000,67 
#shoppingspree,0,0.000000,15 
#shoppingtherapy,0,0.000000,10 
#realestateagents,0,0.000000,44 
#realestatevideo,0,0.000000,2 
#yachtmaster,0,0.000000,14 
#boatparty,0,0.000000,10 
#flyprivate,0,0.000000,18 
#shoppingaddict,0,0.000000,136 
#tagsta,0,0.000000,4 
#shoppings,0,0.000000,51 
#mansionhouse,0,0.000000,4 
#boating,0,0.000000,38 
#privateplanes,0,0.000000,2 
#shopping,0,0.000000,105 
#realestatenews,0,0.000000,19 
#shoppingfun,0,0.000000,5 
#tagstagram,0,0.000000,3 
#realestatephoto,0,0.000000,9 
#shoppinginsta,0,0.000000,2 
#realestatememes,0,0.000000,7 
#yachtmanagement,0,0.000000,2 
#shoppingqueen,1,0.013699,73 
#shoppingmall,1,0.062500,16 
#realestatebrokers,0,0.000000,4 
#yachtlover,0,0.000000,3 
#shoppingday,0,0.000000,69 
#yachts,0,0.000000,28 
#realestateagent,0,0.000000,40 
#flying,1,0.015873,63 
#mansionparty,0,0.000000,3 
