#catsofinstagram,0,0.000000,59 
#horseman,1,0.076923,13 
#doglover,0,0.000000,52 
#birds,0,0.000000,14 
#tawnyowl,0,0.000000,7 
#catlover,0,0.000000,63 
#owlstagram,0,0.000000,2 
#horsetraining,0,0.000000,9 
#horseworld,0,0.000000,3 
#birds_adored,0,0.000000,3 
#snowyowl,0,0.000000,17 
#doge,2,0.029851,67 
#horseoftheday,0,0.000000,2 
#owly,0,0.000000,2 
#dogoftheday,0,0.000000,40 
#horsejumping,0,0.000000,2 
#ilovecats,1,0.021277,47 
#instadog,0,0.000000,83 
#dogsofinstaworld,0,0.000000,13 
#doggy,6,0.150000,40 
#birdsofinstagram,0,0.000000,43 
#owldrawing,0,0.000000,2 
#horsesofinstagram,0,0.000000,19 
#dogstagram,0,0.000000,70 
#dogsandpals,0,0.000000,7 
#birdsofparadise,2,0.111111,18 
#horse,0,0.000000,32 
#doggo,0,0.000000,41 
#cat,0,0.000000,54 
#dogs,0,0.000000,22 
#cats_of_instagram,0,0.000000,74 
#cats,0,0.000000,84 
#horseofinstagram,0,0.000000,3 
#birdsonearth,0,0.000000,7 
#catphoto,1,0.025641,39 
#horses,0,0.000000,28 
#birds_matter,0,0.000000,8 
#tagstagram,0,0.000000,3 
#mansbestfriend,0,0.000000,26 
#doggie,0,0.000000,11 
#dogs_of_instagram,0,0.000000,40 
#birdsofprey,0,0.000000,12 
#birds_of_instagram,0,0.000000,3 
#dogsofinstagram,0,0.000000,93 
#horseback,1,0.035714,28 
#doglovers,0,0.000000,36 
#dogs_of_world,0,0.000000,48 
#horsephotographer,0,0.000000,4 
#horsemanship,0,0.000000,7 
#barnowl,0,0.000000,11 
#dog,1,0.014925,67 
#catwoman,0,0.000000,24 
#dogsofinsta,0,0.000000,65 
#birds_brilliance,0,0.000000,4 
