#omegapsiphi,0,0.000000,3 
#blackhistory,7,0.350000,20 
#gods,0,0.000000,15 
#cringe,16,0.125984,127 
#blackhair,1,0.062500,16 
#blm,4,0.666667,6 
#alllivesmatter,3,0.500000,6 
#blacklove,7,0.259259,27 
#lovewins,1,0.058824,17 
#fatherhood,0,0.000000,34 
#feminism,13,0.590909,22 
#wokeaf,3,0.500000,6 
#rainbowbaby,0,0.000000,20 
#blackboyjoy,3,0.187500,16 
#familyiseverything,0,0.000000,7 
#melaninpoppin,2,0.068966,29 
#staywoke,12,0.272727,44 
#blacklivesmatter,1,0.500000,2 
#gayparenting,0,0.000000,3 
#studentaffairs,0,0.000000,5 
#gay,9,0.250000,36 
#lgbtparents,0,0.000000,2 
#blackgirlmagic,0,0.000000,27 
#woke,15,0.180723,83 
#buyblack,6,0.375000,16 
#activism,2,0.058824,34 
#gayhistory,1,0.250000,4 
#bethechange,0,0.000000,42 
#rainbowfamily,0,0.000000,4 
#latinx,3,0.375000,8 
#memes,4,0.055556,72 
#girlpower,2,0.064516,31 
#funny,3,0.023810,126 
#curls,1,0.025000,40 
#queer,5,0.333333,15 
#dank,2,0.020408,98 
#dankmemes,7,0.072917,96 
#metoo,9,0.333333,27 
#lgbt,4,0.333333,12 
#kinks,2,0.066667,30 
#blackcouples,3,0.250000,12 
#knowyourhistory,1,0.142857,7 
#melanin,9,0.310345,29 
#immigration,4,0.153846,26 
#love,0,0.000000,47 
#racist,53,0.469027,113 
#latino,2,0.090909,22 
#blackpower,2,0.666667,3 
#imrootingforeverybodyblack,0,0.000000,2 
#coils,3,0.136364,22 
#white,11,0.323529,34 
#lgbtq,0,0.000000,5 
#unlearnandrelearn,0,0.000000,3 
#goddesses,1,0.100000,10 
#blackexcellence,10,0.476190,21 
#blackpanther,3,0.375000,8 
#meme,0,0.000000,56 
#gaydads,0,0.000000,2 
