#california,0,0.000000,35 
#london_city_photo,0,0.000000,13 
#londonfood,0,0.000000,15 
#spaintourism,0,0.000000,2 
#usa,0,0.000000,17 
#londondiaries,0,0.000000,4 
#unitedstates,0,0.000000,7 
#vacationtime,0,0.000000,23 
#londonfoodie,0,0.000000,16 
#vacationlife,0,0.000000,4 
#vacationland,0,0.000000,3 
#australianfashion,0,0.000000,3 
#vacation,0,0.000000,138 
#london_enthusiast,0,0.000000,24 
#travellers,4,0.166667,24 
#londonforyou,0,0.000000,17 
#spainfood,0,0.000000,5 
#travelers,0,0.000000,18 
#vacationvibes,0,0.000000,4 
#travelling,2,0.022727,88 
#starsandstripes,0,0.000000,6 
#londonarchitecture,0,0.000000,3 
#theunitedstates,0,0.000000,3 
#londoner,0,0.000000,27 
#travelblogger,2,0.029412,68 
#traveling,1,0.012346,81 
#tagsta,0,0.000000,2 
#travelholic,0,0.000000,7 
#travelbag,2,0.111111,18 
#mexicocity,0,0.000000,11 
#vacationmode,0,0.000000,30 
#tagstagram,0,0.000000,2 
#traveler,0,0.000000,46 
#travelguide,0,0.000000,30 
#londoneye,0,0.000000,19 
#travel,1,0.007634,131 
#spaintravel,0,0.000000,3 
#travelgram,0,0.000000,38 
#spain,0,0.000000,14 
#travelbook,2,0.090909,22 
#vacationhome,0,0.000000,18 
#travelphotography,0,0.000000,42 
#texas,3,0.085714,35 
#traveller,1,0.033333,30 
#america,2,0.064516,31 
#iloveamerica,0,0.000000,3 
#vacationmodeon,0,0.000000,8 
#usatravel,0,0.000000,10 
#florida,0,0.000000,21 
