#goodfriends,0,0.000000,30 
#dear,0,0.000000,10 
#happiness,1,0.013158,76 
#instagood,0,0.000000,118 
#beautiful,0,0.000000,82 
#alloccasions,0,0.000000,3 
#bestfriends,2,0.043478,46 
#friendsforever,0,0.000000,7 
#valentinesgift,0,0.000000,4 
#friend,1,0.015873,63 
#charly,0,0.000000,3 
#friendshipquotes,0,0.000000,8 
#bff_goals,0,0.000000,2 
#cute,3,0.030928,97 
#bestfriendsforever,1,0.037037,27 
#friendsday,0,0.000000,2 
#picoftheday,0,0.000000,69 
#bestfriend,0,0.000000,32 
#bestgiftever,0,0.000000,3 
#bffs,2,0.071429,28 
#friendslove,0,0.000000,2 
#friendship,0,0.000000,59 
#turkey,0,0.000000,142 
#vday,0,0.000000,3 
#friendforever,0,0.000000,6 
#smile,0,0.000000,58 
#friendships,0,0.000000,41 
#friendshipgoals,0,0.000000,5 
#bff,1,0.025641,39 
#myfriends,0,0.000000,7 
#my,2,0.066667,30 
#specialperson,0,0.000000,4 
#tagstagram,0,0.000000,2 
#me,9,0.100000,90 
#love,1,0.006452,155 
#photooftheday,0,0.000000,76 
#friends,2,0.024390,82 
#friendsforlife,0,0.000000,10 
#valentinegift,0,0.000000,2 
#adana,0,0.000000,11 
#firstkiss,0,0.000000,8 
#bffgoals,4,0.108108,37 
#myfriend,1,0.071429,14 
#mygirlfriend,0,0.000000,2 
#friendzone,0,0.000000,9 
#friendly,0,0.000000,15 
#hug,1,0.033333,30 
#lovestories,0,0.000000,17 
#friends4ever,0,0.000000,2 
