#summerfashion,0,0.000000,18 
#winterphotography,0,0.000000,3 
#summerholiday,0,0.000000,2 
#falldecor,0,0.000000,20 
#fallphotography,0,0.000000,28 
#wintervacation,0,0.000000,4 
#winterseason,0,0.000000,16 
#summers,0,0.000000,7 
#sunrise_sunset_photogroup,0,0.000000,25 
#winterstyle,0,0.000000,6 
#summer,1,0.015873,63 
#winterweather,0,0.000000,13 
#wintermorning,0,0.000000,4 
#winterbreak,0,0.000000,7 
#fallleaves,0,0.000000,27 
#summerbody,1,0.062500,16 
#fallcollection,0,0.000000,6 
#summerbreeze,0,0.000000,2 
#springtime,0,0.000000,9 
#winterfashion,0,0.000000,13 
#summerholidays,0,0.000000,2 
#springbreak,0,0.000000,6 
#winterwonderland,0,0.000000,16 
#falllooks,0,0.000000,5 
#winteriscoming,0,0.000000,22 
#springflowers,0,0.000000,16 
#autumn,0,0.000000,15 
#summernights,0,0.000000,7 
#fallfashion,0,0.000000,16 
#tagsta,0,0.000000,2 
#winteroutfits,0,0.000000,4 
#winters,1,0.043478,23 
#tagstagram,0,0.000000,2 
#sunrises,0,0.000000,15 
#summertime,0,0.000000,37 
#falldecorations,0,0.000000,8 
#summermemories,0,0.000000,5 
#fallcolors,0,0.000000,17 
#winteroutfit,0,0.000000,7 
#sunrise,0,0.000000,29 
#summer2020,0,0.000000,5 
#winterwarmer,0,0.000000,13 
#wintersun,0,0.000000,23 
