#balanced,0,0.000000,25 
#porridge,1,0.028571,35 
#healthyfood,0,0.000000,33 
#veganjunkfood,0,0.000000,3 
#veganrecipe,0,0.000000,49 
#healthylifestyle,0,0.000000,60 
#regal,0,0.000000,11 
#vegansofinstagram,0,0.000000,2 
#sweetpotato,0,0.000000,13 
#foodie,0,0.000000,39 
#diet,0,0.000000,75 
#meatfree,0,0.000000,21 
#healthy,0,0.000000,74 
#veganrecipes,0,0.000000,11 
#goodness,0,0.000000,21 
#healthybreakfast,0,0.000000,26 
#vegano,0,0.000000,13 
#organic,1,0.026316,38 
#vegancomfortfood,0,0.000000,2 
#plantbased,1,0.031250,32 
#chickpeas,0,0.000000,27 
#veganismo,0,0.000000,5 
#veganlife,0,0.000000,26 
#healthyeating,0,0.000000,64 
#dairyfree,0,0.000000,32 
#oats,0,0.000000,24 
#vegansofig,0,0.000000,9 
#fitfood,0,0.000000,75 
#vegetarianrecipes,0,0.000000,8 
#breakfastbowl,0,0.000000,3 
#plantbasedrecipes,0,0.000000,3 
#beetroot,0,0.000000,20 
#veganforanimals,0,0.000000,5 
#vegetables,0,0.000000,46 
#animalsmatter,0,0.000000,8 
#tofu,0,0.000000,20 
#veganfoodshare,0,0.000000,8 
#oatmealbowl,0,0.000000,2 
#miam,0,0.000000,6 
#tagsta,0,0.000000,2 
#vegans,0,0.000000,19 
#balanceddiet,0,0.000000,5 
#smoothiebowl,0,0.000000,14 
#vegan,0,0.000000,32 
#tagstagram,0,0.000000,2 
#vegetal,0,0.000000,3 
#plantbaseddiet,0,0.000000,24 
#vegancommunity,0,0.000000,7 
#glutenfree,0,0.000000,38 
#assassins,0,0.000000,5 
#vegetarian,2,0.042553,47 
#eggfree,0,0.000000,17 
#soulfood,7,0.218750,32 
#veganfood,0,0.000000,37 
#dietfood,0,0.000000,6 
#veganfoodlovers,0,0.000000,4 
#pastalover,0,0.000000,18 
#veganuary,0,0.000000,3 
