#basketballplayer,0,0.000000,7 
#golftips,0,0.000000,29 
#nbaplayers,1,0.142857,7 
#basketballplayers,0,0.000000,3 
#basketballshoes,0,0.000000,5 
#nbabasketball,0,0.000000,7 
#mlbnetwork,0,0.000000,8 
#basketballtraining,0,0.000000,18 
#basketballs,0,0.000000,3 
#nbagang,0,0.000000,2 
#golf,0,0.000000,72 
#hockeyfan,0,0.000000,6 
#nhldraft,0,0.000000,4 
#nbadraft,0,0.000000,4 
#tagstagramers,0,0.000000,3 
#golfbabes,0,0.000000,3 
#golfplayer,0,0.000000,2 
#nhl19,0,0.000000,2 
#nbachamps,0,0.000000,3 
#mlbtheshow,0,0.000000,13 
#golfer,0,0.000000,27 
#golfing,0,0.000000,29 
#surfer,1,0.030303,33 
#nhlplayoffs,0,0.000000,3 
#mlbpicks,0,0.000000,3 
#hockeyfamily,0,0.000000,17 
#golfswing,0,0.000000,29 
#basketballedits,0,0.000000,7 
#hockeygirls,0,0.000000,4 
#tagsta,0,0.000000,4 
#surfcasting,0,0.000000,12 
#hockeyseason,0,0.000000,25 
#nbastore,0,0.000000,2 
#surfline,0,0.000000,3 
#tagstagram,0,0.000000,4 
#nhlmemes,0,0.000000,2 
#basketballgame,0,0.000000,4 
#nbaawards,0,0.000000,3 
#mlbmemes,0,0.000000,4 
#hockeydad,0,0.000000,10 
#hockeyplayers,0,0.000000,6 
#hockeyfight,0,0.000000,3 
#mlb,0,0.000000,22 
#basketballlovers,0,0.000000,2 
#baseballmom,0,0.000000,22 
