#worldwar2,1,0.058824,17 
#donations,0,0.000000,17 
#militaryvehicles,0,0.000000,2 
#creepy,0,0.000000,72 
#help,1,0.025641,39 
#worldhistory,1,0.142857,7 
#fundraising,0,0.000000,38 
#family,0,0.000000,32 
#milwaukee,5,0.156250,32 
#community,1,0.047619,21 
#iraq,0,0.000000,6 
#vintagelandrover,0,0.000000,2 
#train,1,0.008547,117 
#givingback,0,0.000000,20 
#historylover,0,0.000000,4 
#withmytamron,0,0.000000,4 
#history,5,0.111111,45 
#ambulance,2,0.018182,110 
#peace,2,0.020408,98 
#syria,0,0.000000,2 
#donation,0,0.000000,23 
#charity,1,0.029412,34 
#nikon,0,0.000000,52 
#old,20,0.200000,100 
#classiclandrover,0,0.000000,2 
#ww2,0,0.000000,5 
#nonprofit,1,0.013333,75 
#policiamilitar,0,0.000000,2 
#fundraiser,0,0.000000,29 
#support,0,0.000000,26 
#policia,0,0.000000,2 
#secondworldwar,0,0.000000,9 
#love,0,0.000000,47 
#landroverlove,0,0.000000,3 
#war,6,0.105263,57 
#ilovehistory,0,0.000000,3 
#donate,1,0.055556,18 
#nikond7500,0,0.000000,5 
#militar,0,0.000000,2 
#britisharmy,0,0.000000,35 
#militaryvehicle,0,0.000000,3 
#volunteer,0,0.000000,40 
#1936,0,0.000000,2 
#greendiamond,0,0.000000,3 
#giveback,0,0.000000,8 
