#heavymetal,1,0.076923,13 
#instagood,1,0.012658,79 
#pakistan,0,0.000000,10 
#badguy,1,0.034483,29 
#boy,1,0.050000,20 
#northerncolorado,0,0.000000,3 
#successtips,0,0.000000,20 
#psychedelic,2,0.066667,30 
#mycorrhizae,0,0.000000,2 
#motivationalquotes,0,0.000000,25 
#recovery,2,0.033898,59 
#gt4,0,0.000000,9 
#eletronicmusic,0,0.000000,2 
#drugaddiction,0,0.000000,15 
#intothevoid,0,0.000000,3 
#vibe,0,0.000000,42 
#digitalillustration,1,0.043478,23 
#art,1,0.010309,97 
#deepdream,0,0.000000,20 
#doctor,0,0.000000,5 
#publicspeaker,0,0.000000,35 
#recoveryrocks,0,0.000000,3 
#psychedelicdrugs,1,0.250000,4 
#successquotes,0,0.000000,22 
#psilocybe,0,0.000000,4 
#drugoverdose,0,0.000000,2 
#quotesgram,0,0.000000,12 
#blackmetal,2,0.090909,22 
#extrememetal,0,0.000000,13 
#blutausnord,0,0.000000,3 
#addiction,1,0.021277,47 
#420,0,0.000000,5 
#trippy,3,0.078947,38 
#pharmacy,0,0.000000,50 
#illustration,0,0.000000,91 
#deathmetal,0,0.000000,26 
#depression,0,0.000000,93 
#recordcollection,0,0.000000,3 
#digitalart,1,0.018182,55 
#surrealism,2,0.090909,22 
#710,0,0.000000,2 
#mood,1,0.013514,74 
#overdose,1,0.076923,13 
#herald,0,0.000000,6 
#csurams,0,0.000000,2 
#sober,5,0.119048,42 
#tripping,3,0.033708,89 
#rehab,0,0.000000,20 
#intothenight,0,0.000000,29 
#porsche,0,0.000000,22 
