#press,1,0.014925,67 
#conservative,4,0.102564,39 
#kag2020,0,0.000000,3 
#republicans,2,0.057143,35 
#bbc,9,0.200000,45 
#opinion,0,0.000000,13 
#flag,0,0.000000,32 
#newspaper,0,0.000000,42 
#congress,1,0.058824,17 
#biden,3,0.066667,45 
#potus,13,0.361111,36 
#delhiblogger,0,0.000000,2 
#flags,1,0.031250,32 
#eyes,1,0.007634,131 
#punekar,0,0.000000,10 
#trump,35,0.522388,67 
#satire,1,0.038462,26 
#vote,6,0.086957,69 
#joebiden,4,0.285714,14 
#revolution,1,0.047619,21 
#initiative,0,0.000000,34 
#personality,2,0.057143,35 
#journalism,3,0.048387,62 
#2020election,1,0.027778,36 
#royal,1,0.029412,34 
#politicalcompass,1,0.166667,6 
#activism,3,0.076923,39 
#genz,2,0.142857,14 
#republican,2,0.153846,13 
#election2020,1,0.142857,7 
#unitednations,1,0.250000,4 
#fakenews,6,0.089552,67 
#kag,6,0.206897,29 
#sectional,0,0.000000,48 
#news,5,0.052083,96 
#politicalscience,0,0.000000,23 
#republicanparty,1,0.090909,11 
#delhitravelblogger,0,0.000000,2 
#president,11,0.333333,33 
#crime,2,0.054054,37 
#american,2,0.117647,17 
#keepamericagreat,8,0.727273,11 
#libertarianmemes,0,0.000000,4 
#propaganda,7,0.104478,67 
#unity,0,0.000000,20 
#leftistmemes,1,0.200000,5 
#diplomacy,0,0.000000,32 
#sections,0,0.000000,5 
#republicanmemes,0,0.000000,2 
#politicalmemes,2,0.117647,17 
#politicsmemes,0,0.000000,3 
#politics,8,0.133333,60 
#based,11,0.177419,62 
#political,1,0.020000,50 
#maga,4,0.666667,6 
#delhifoodie,0,0.000000,2 
#leftist,13,0.325000,40 
#redpill,6,0.098361,61 
#conservativememes,1,0.041667,24 
#walkaway,0,0.000000,12 
