0
"['apex', 'jackrussell', 'photo3', 'ft', 'miss', 'caitlin', 'alexandra', 'lingerie', 'white', 'curl', 'inkedgirls', 'boudoir']"
"['raise', 'temperature', 'wavyhairdiary', 'curl', 'curlygirl', 'loveyourcurls', 'perfectcurls', 'curlywave']"
"['favorite', 'aussie', 'product', 'curl', 'curlygirl']"
"['ginger', 'curl', 'vanessaturner', 'ginger', 'curl', 'curlyhair', 'naturalhair', 'jenndidthat']"
"['thought', 'follow', 'twerenyame', 'curlsaunaturel', 'curlsaunaturelkids', 'curlyhair', 'positivevibes', '4c']"
"['love', 'red', 'redhead', 'redhair', 'freckle', 'red', 'curl', 'siren', 'ginger', 'girlswithtattoos']"
"['it', 's', 'always', 'curl', 'me', 'curl', 'mariah', 'queenmariah', 'mariahcarey', 'mariahcarey']"
"['get', 'attach', 'remember', 'happen', 'last', 'time', 'curl']"
"['peak', 'boo', 'tiddies', 'piercednperky', 'blackgirlmagic', 'curl', 'lightskin', 'tallwoman', 'tallgirltwitter', 'onlyfans']"
"['hello', 'everyone', 'selfie', 'beautifulday', 'positive', 'curlyhair', 'curl']"
"['told', 'i', 'm', 'slack', 'hair', 'braid', 'n', 'oil', 'scalp', 'last', 'night', 'hair', 'curl', 'dry', 'hydrate', 'now']"
"['imperfectly', 'perfect', 'evangermond', 'curlstodiefor', 'curly', 'curlyhair', 'hair', 'curl', 'curlymen', 'curlyhairstyles']"
"['sleep', 'bonnet', 'curl', 'curlygirl']"
"['follow', 'twerenyame', 'curlsaunaturel', 'curlsaunaturelkids', 'curlyhair', 'positivevibes', '4c', 'blackgirlmagic']"
"['satisfaction', 'good', 'curl', 'via', 'carewithroysa', 'curlybeauty', 'curl', 'haircare']"
"['reach', 'curl', 'yogafit', 'atleisure', 'los', 'angeles', 'california']"
"['reach', 'curl', 'yogafit', 'los', 'angeles', 'california']"
"['feel', 'curl', 'carewithroysa', 'curl', 'curlygirlsrock', 'curlyhairdontcare', 'curlyhairroutine', 'curly']"
"['like', 'hair', 'short', 'love', 'curl', 'curlyhair']"
"['postpartum', 'hair', 'suffer', 'organigrowhairco', 'help', 'love', 'curl', 'again', 'sea', 'renita', 'us', 'cla']"
"['follow', 'twerenyame', 'curlsaunaturel', 'curlsaunaturelkids', 'curlyhair', 'positivevibes', '4c', 'blackgirlmagic']"
"['rusty', 'auburnbest', 'fall', 'hair', 'color', 'right', 'here', 'haircolor', 'goldwell', 'natural', 'wavyhairstyle', 'curl', 'rust', 'auburn']"
"['fantastic', 'sunday', 'miss', 'caitlin', 'alexandra', 'jackrussell', 'photo3', 'pink', 'sunday', 'curl', 'inkedgirls']"
"['favorite', 'curlsmith', 'product', 'curl', 'curlygirl']"
"['curl', 'new', 'black', 'via', 'curlygirllola', 'curlyblackhair', 'lovelycurls', 'curl']"
"['miss', 'caitlin', 'alexandra', 'supervise', 'stable', 'lad', 'jackrussell', 'photo3', 'lingerie', 'curl', 'emerald', 'turquoise']"
"['relate', 'ever', 'fall', 'alseep', 'without', 'scarf', 'bonnet', 'pillowcase', 'pray', 'curl', 'pop']"
"['love', 'hate', 'relationship', 'w', 'curl', 'newprofilepic']"
"['come', 'jersey', 'get', 'knee', 'come', 'bbc', 'gangbang', 'blowjob', 'curl', 'mixedgirl']"
"['100lb', 'dumbbell', 'cross', 'throw', 'catch', 'hammer', 'curl', 'noahsarmy', 'strongman', 'curl']"
"['hair', 'stylist', 'always', 'make', 'hair', 'cute', 'fuck', 'trans', 'curl', 'blonde', 'bimboification']"
"['follow', 'twerenyame', 'curlsaunaturel', 'curlsaunaturelkids', 'curlyhair', 'positivevibes', '4c', 'blackgirlmagic']"
"['mother', 'bride', 'updo', 'style', 'curl', 'twist', 'braid', 'curl', 'cute', 'twist', 'braid', 'bridal', 'bridalhair']"
"['brother', 'sister', 'today', 'pump', 'iron', 'biceps', 'curl', 'strengthtraining', 'aim', '40sec', 'spent', 'set']"
"['curl', 'curl', 'curlyhair', 'curlygirl', 'curlygirly', 'curlyhairishardwork', 'curlykids', 'curly']"
"['tag', 'source', 'follow', 'twerenyame', 'curlsaunaturel', 'curlsaunaturelkids', 'curlyhair', 'positivevibes', '4c']"
"['team', 'volume', 'curlyhair', 'curl', 'bighair']"
"['tag', 'source', 'follow', 'twerenyame', 'curlsaunaturel', 'curlsaunaturelkids', 'curlyhair', 'positivevibes', '4c']"
"['mid', 'week', 'mood', 'mood', 'currentmood', 'midweek', 'zoom', 'curl', 'workfromhome', 'sydney', 'australia']"
