0
"['community', 'development', 'project', 'bus', 'project', 'immodernafrican']"
"['askaledavis', 'yes', 'let', 's', 'normalize', 'see', 'healthy', 'fun', 'couple', 'reality', 'tv', 'live', 'strong', 'blacklove', 'scree']"
"['community', 'development', 'project', 'truck', 'project', 'rebuild']"
"['black', 'history', 'education', 'blacklove']"
"['matter', 'what', 'watchthegrowth', 'blacklove']"
"['build', 'ur', 'community']"
"['good', 'morning', 'beautiful', 'tuesdaylove', 'blacklove', 'romance', 'suzetteriddickbooks']"
