0
"['join', 'u', 'today', 'second', 'part', 'blackhistorymonth', 'webinars', 'iconic', 'figure', 'book', 'seat', 'here']"
"['kensingtonandchelsea', 'blackhistory', 'photographic', 'display', '2021', 'curated', 'leoniedean']"
"['christian', 'strong', 'wing', 'cap', 'africanamerican', 'africa', 'blackhistory', 'blacklivesmatter', 'melanin', 'african']"
"['nice', 'small', 'boat', 'model', 'iafrica', 'africa', 'afrocentric', 'blackexcellence', 'blackhistory', 'blackhistorymonth']"
"['1581', 'fat', 'albert', 'v', 'police', 'black', 'guy', 'tip', 'podcast']"
"['black', 'man', 'file', 'lawsuit', 'missouri', 'police', '2018', 'shoot']"
"['episode', '3', 'citizen', 'nowhere', 'hit', 'hit', 'air', 'tonight', 'i', 'm', 'chat', 'blackhistory', 'nabzabdel', 'deep', 'seri']"
"['1203', 'book', 'racism', 'black', 'guy', 'tip', 'podcast']"
"['often', 'get', 'ask', 'get', 'name', 'renegade', 'actually', 'deeply', 'root', 'blackhistory', 'particularl']"
"['strong', 'inspiration', 'go', 'international', 'interview', 'blackhistory', 'fine', 'come', 'hit', 'subscrib']"
"['many', 'remarkable', 'blackwomen', 'know', 'about', 'tag', 'friend', 'amp', 'share', 'knowledge', 'blackhistory']"
"['227', 'black', 'racism', 'president', 'black', 'guy', 'tip', 'podcast']"
"['2365', 'sandwich', 'police', 'black', 'guy', 'tip', 'podcast']"
"['join', 'u', 'third', 'final', 'part', 'blackhistorymonth', 'webinars', 'session', 'windrush', 'justice', '6pmjoin', 'z']"
"['here', 'ni', 'host', 'short', 'film', 'chat', 'today', '1pm', 'part', 'blackhistory', 'month', 'event']"
"['1959', 'sandwich', 'police', 'black', 'guy', 'tip', 'podcast']"
"['1705', 'america', 'run', 'racism', 'black', 'guy', 'tip', 'podcast']"
"['address', 'anti', 'black', 'racism', 'priority', 'african', 'element']"
"['subscribe', 'freeyoutube', 'channelyou', 'll', 'love', 'like', 'blackhistory']"
