0
"['afro', 'hair', 'comb', 'inventor', 'hope', 'inspire', 'young', 'black', 'woman', 'afrocomb', 'afrohair', 'blackexcellence', 'blackbusiness']"
"['check', 'episode', '15', 'youtube']"
"['king', 'unite', 'el', 'matic', 'x', 'genolexis', 'x', 'goodmorninghiphop', 'blackexcellence', 'entrepreneur', 'ya', 'll', 'even', 'k']"
"['fuck', 'knewww', 'hotties', 'proud', 'blackexcellence']"
"['fourth', 'final', 'part', 'blackexcellence', 'series', 'reverend', 'aj', 'varmah', 'speak', 'importa']"
"['blackexcellence', 'hustlesdiary', 'femaleentrepreneur', 'supportlocal', 'mobilecarwashretweet', 'please', 'next', 'client']"
"['acrylicnails', 'brightcolours', 'femaleentrepreneur', 'supportlocal', 'blackexcellence', 'hustlesdiaryretweet', 'please', 'o']"
"['blackexcellence', 'hustlesdiary', 'femaleentrepreneur', 'supportlocalretweet', 'please', 'next', 'client', 'could', 'from']"
"['love', 'powerful', 'picture', 'blackexcellence', 'bnwo', 'blm']"
"['blackexcellence', 'i', 'm', 'proud', 'king']"
"['can', 't', 'rush', 'perfection', 'shegangsta', 'tonemane', 't1visuals', 'tunnelvision', 'knowledge', 'freegame', 'blackexcellence']"
"['feminist', 'blackexcellence', 'my', 'mother', 'save', 'poetry', 'book', 'start', 'write', '8', 'year', 'old', 'un']"
"['nice', 'small', 'boat', 'model', 'iafrica', 'africa', 'afrocentric', 'blackexcellence', 'blackhistory', 'blackhistorymonth']"
"['awaken', 'part', '1', 'tonight', 'go', 'woman', 'blackexcellence', 'break', 'glass', 'ceiling', 'claim', 'our']"
"['kownedbusiness', 'blackowned', 'hbcu', 'blackboyjoy', 'blackexcellence', 'blackpower', 'blackpride', 'blackhealth', 'blackwealth']"
"['lit', 'photographer', 'fayettevillenc', 'photooftheday', 'photographer', 'blackexcellence']"
"['beautiful', 'melinated', 'peep', 'create', 'ya', 'sell', 'ain', 't', 'heard', 'blaamazon', 'go', 'check', 'em', 'out', 'blackexcellence']"
"['happens', 'mix', 'blackgirlmagic', 'blackexcellence', 'get', 'dr', 'johnnetta', 'betsch', 'cole', 'swipe', 'few']"
"['first', 'phase', 'wonderful', 'journey', 'almost', 'do', 'medicine', 'blackdoctors', 'medicalstudent', 'blackexcellence']"
"['black', 'people', 'wake', 'fuck', 'up', 'blacklivesmatter', 'blackexcellence', 'african', 'slavery', 'moderndayslavery']"
