0
"['here', 's', 'staff', 'shaftesbury1911', 'always', 'land', 'side', 'right', 'lovewins']"
"['yugiohcotd', 'prickle', 'fairy', 'insect', 'princess', 'from', 'episode', 'lesbian', 'lovewins']"
"['opinion', 'self', 'love', 'hmm', 'think', 'make', 'mistake', 'okay', 'i', 'm', 'proud', 'you', 'spoileralert', 'lovewins']"
"['waytooearly', 'awake', 'see', 'princess', 'mako', 'story', 'lovewins']"
"['and', 'want', 'want', 'boy', 'boy', 'girl', 'girl', 'lovewins', 'finally']"
"['jerrygracio', 'congratulation', '17th', 'cheer', 'year', 'sainyong', 'dalawa', 'lovewins']"
"['living', 'best', 'life', 'happy', 'today', 'fun', 'dream', 'mrbeast', 'jack', 'twitter', 'love', 'much', 'lovewins']"
"['want', 'say', 'wonderful', 'keep', 'champ', 'spoileralert', 'lovewins']"
"['mcdonalds', 'give', 'two', 'pie', 'instead', 'one', 'lgbtq', 'history', 'month', 'lovewins']"
"['think', 'best', 'day', 'longer', 'talk', 'gay', 'straight', 'samelove', 'lovewins']"
"['ignore', 'next', 'tweet', 'im', 'addinj', 'image', 'bot', 'lovewins']"
"['yes', 'experienced', 'act', 'brotherhood', 'lately', 'offer', 'one', 'someone', 'else', 'lovewins', 'weareone']"
"['every', 'little', 'bit', 'make', 'difference', 'wednesdaywisdom', 'love', 'llblife', 'differencemaker', 'lovewins', 'limitless']"
"['self', 'love', 'tip', 'one', 's', 'life', 'perfect', 'instagram', 'feed', 'i', 've', 'get', 'back', 'spoileralert', 'lovewins']"
"['lovewins', 'wait', 'king', 'lovelanguage', 'stayathome']"
"['who', 's', 'excite', 'new', 'stuff', 'dorianelectra', 's', 'tease', 'lovewins', 'akasins', 'furrypride']"
