0
"['girl', 'guy', 'theys', 'pewdiepie', 'one', 'gay', 'gay', 'lgbt', 'urmom']"
"['intothefog', 'shirtmysurvivor', 'killer', 'survivor', 'rotation', 'support', '9', 'lgbtqia', 'welcome', 'lgbt', 'gay']"
"['lose', 'weight', 'gay', 'bi', 'lgbt']"
"['would', 'take', 'advantage', 'untie', 'me', 'bdsm', 'lgbt', 'fallfashion', 'fetish', 'onlyfans', 'vinroxx']"
"['even', 'fucker', 'daddy', 'ready', 'halloween', 'year', 'go', 'bear', 'daddy', 'bear', 'lgbt', 'gaynorfolk']"
"['last', 'time', 'sex', 'lgbt', 'sex']"
"['spooky', 'season', 'halloween', 'october', 'diadasbruxas', 'nonbinary', 'lgbt', 'pride', 'spookyseason', 'creep', 'halloweencostume']"
"['cob6aby', 'arisu', 'special', 'sorry', 'sangwoo', 'lgbt']"
"['hrc', 'call', 'dark', 'day', 'texas', 'gov', 'greg', 'abbott', 'sign', 'anti', 'transgender', 'sport', 'ban']"
"['bill', 'burr', 'loses', 'philly']"
"['want', 'cut', 'boob', 'i', 'm', 'start', 'think', 'i', 'm', 'non', 'binary', 'idk', 'lgbt', 'nonbinary']"
