0
"['long', 'long', 'time', 'since', 'ive', 'tweet', 'what', 's', 'happen', 'oh', 'yeah', 'give', 'birth', 'beautiful', 'rainbowbaby', 'hallie']"
"['rainbow', 'fragment', 'mirror', 'land', 'rainbowbaby', 'arcoiris', 'mirrorlake', 'floridaskies', 'floridasky', 'cielos']"
"['oh', 'em', 'geeeee', 'wish', 'luck', 'rainbowbaby', 'firsttimemom', 'ic']"
"['welcometotheworld', 'autumnviolet', 'wait', 'long', 'meet', 'you', 'dream', 'child', 'rainbowbaby']"
"['baby', 'joy', 'timeline', 'babylove', 'preemie', 'rainbowbaby']"
"['hey', 'y', 'all', 'i', 'm', '19', 'week', 'along', 'check', 'amazon', 'baby', 'registry']"
"['next', 'chapter', 'begin', 'can', 't', 'wait', 'meet', 'baby', 'girl', 'rainbowbaby', '2yearsinthemaking']"
"['face', 'demittrius23', 'twin', 'supergirl', 'rainbowbaby', 'twincess', 'daddysgirl']"
"['cycle', 'day', '9', 'i', 'm', 'within', 'fertile', 'window', 'baby', 'dance', 'time', 'babydust', 'rainbowbaby', 'firsttimemom', 'momtobe', 'ic', 'ici', 'iui']"
"['resonate', 'you', 'rainbowbabyhour', 'pregnancyafterloss', 'pregnancyafterlosssupport', 'pal', 'miscarriage']"
"['give', 'hope', 'rainbow', 'baby', 'rainbowbaby', 'infertility']"
"['first', 'lunch', 'date', 'girl', 'little', 'rainbow', 'bless', 'weekold', 'rainbowbaby']"
"['heart', 'rainbowbaby']"
"['rainbowbaby', 'randyrainbow', 'rainbowhproject', 'available', 'store']"
"['last', 'year', 'day', 'trimester', '2', 'miscarriage', 'lose', 'son', 'cyre', 'today', 'i', 'm', 'hold', 'rainbowbaby', 'amoy']"
"['sweet', 'baby', 'boy', 'rainbowbaby', 'boymama', 'motherhood', 'definitely', 'want', 'boy', 'can', 't', 'tell']"
"['baby', 'squishy', 's', 'heart', 'beat', 'bit', 'kick', 'listen', 'closely', 'love', 'rainbowbaby', 'heartbeat']"
"['gender', 'reveal', 'rainbow', 'baby', 'follow', 'tiktok', 'full', 'video', 'tarotreading', 'horoscope', 'rainbowbaby', 'genderreveal']"
"['9', 'month', 'old', 'bub', 'bradleyallen', 'rainbowbaby', '9monthsistoomuch']"
