0
"['happy', 'hour', 'week', 'monday', 'thursday', 'you', 'want', 'miss', 'londonfoodie', 'londonfoodguide']"
"['prefer', 'rainbow', 'bagel', 'bubble', 'waffle', 'londonfoodie', 'londonfoodguide', 'londonfoodblog', 'londonfood']"
"['good', 'morning', 'who', 's', 'excite', 'lunch', 'already', 'we', 've', 'get', 'something', 'you', 'londonfoodie', 'londonfoodguide']"
"['quite', 'like', 'roast', 'dinner', 'thought', 'report', 'goat', 'hope', 'sundayroast', 'london', 'londonfoodie']"
"['keep', 'eye', 'peel', 'spooky', 'halloween', 'bagel', 'come', 'soon', 'londonfoodie', 'londonfoodguide', 'londonfoodblog']"
"['name', 'well', 'combo', 'londonfoodie', 'londonfoodguide', 'londonfoodblog', 'londonfood', 'londonbagels', 'croydonfood']"
"['see', 'new', 'restaurant', 'opening', 'theo2', 'marugameudonuk', 'selondonfood', 'londonfoodie', 'londonfood']"
"['happy', 'friday', 'it', 's', 'time', 'weekend', 'waffle', 'mania', 'even', 'londonfoodie', 'londonfoodguide', 'londonfoodblog']"
"['try', 'amaze', 'waffle', 'yet', 'one', 'favourite', 'londonfoodie', 'londonfoodguide']"
"['happy', 'thursday', 'dont', 'forget', 'tomorrow', 'weekend', 'waffle', 'mania', 'fri', 'sun', '6', '10pm', 'londonfoodie']"
"['hello', 'london', 'kitchenequipment', 'kitchenautomation', 'foodtech', 'restaurant', 'foodie', 'london', 'londonfoodie']"
"['waffle', 'mood', 'today', 'londonfoodie', 'londonfoodguide', 'londonfoodblog', 'londonfood']"
"['happy', 'hour', 'week', 'monday', 'thursday', 'you', 'want', 'miss', 'londonfoodie', 'londonfoodguide']"
"['whats', 'favourite', 'crepe', 'fill', 'londonfoodie', 'londonfoodguide', 'londonfoodblog', 'londonfood', 'londonbagels']"
"['pumpkin', 'season', 'taste2taste', 'pumpkin', 'halloween', 'londonfoodie', 'london', 'autumnvibes', 'london', 'united', 'kingdom']"
