0
"['man', 'bore', 'london', 'bore', 'life', 'secretlondon', 'londres', 'london', 'city', 'photo', 'rentlondonflat']"
"['fun', 'london', 'happen', 'london4all', 'london', 'city', 'photo', 'rentlondonflat']"
"['london', 'life', 'potd', 'london', 'city', 'photo', 'thisislondon', 'rentlondonflat']"
"['love', 'living', 'london', 'london', 'city', 'photo', 'city', 'happen', 'rentlondonflat']"
"['thing', 'london', 'trend', 'trend', 'london', 'city', 'photo', 'rentlondonflat']"
"['london', 'call', 'london', 'city', 'photo', 'mydarlinglondon', 'event', 'rentlondonflat']"
"['london', 's', 'call', 'far', 'away', 'town', 'theclash', 'photooftheday', 'potd', 'london', 'city', 'photo', 'rentlondonflat']"
"['we', 're', 'love', 'london', 'living', 'london', 'city', 'photo', 'londoncityworld', 'happen', 'rentlondonflat']"
"['london', 'life', 'londonforyou', 'london', 'city', 'photo', 'london4all', 'rentlondonflat']"
"['check', 'what', 's', 'go', 'london', 'london', 'city', 'photo', 'location', 'potd', 'rentlondonflat']"
"['handmade', 'bigben', 'clock', 'wood', 'christmasgiftideas', 'london', 'city', 'photo', 'worldwideshipping']"
"['man', 'bore', 'london', 'bore', 'life', 'london', 'city', 'photo', 'happen', 'visitlondon', 'rentlondonflat']"
