0
"['dubai', 'delight', '5n', '6d', 'tour', 'package', 'nitsatravelcheck', 'package', 'now']"
"['head', 'weekend', 'like', 'this', 'happyweekend', 'weekned', 'morning', 'vibe', 'vacationmodeon', 'vacationvibes']"
"['head', 'weekend', 'like', 'this', 'keerti07', 'happyweekend', 'weekned', 'morning', 'vibe', 'vacationmodeon']"
"['hard', 'day', 'pool', 'atthedip', 'call', 'cool', 'cerveza', 'happyhour', 'vacationmodeon', 'cheersandbeers', 'visitfl']"
"['embrace', 'fat', 'darlin', 'solo', 'travel', 'getaway', 'vacationmodeon', 'hamad', 'international', 'airport', 'doha', 's']"
"['hey', 'take', 'much', 'need', 'break', 'you', 'deserve', 'lt', '3', 'takeabreak', 'vacationmodeon', 'youdeserveit']"
"['jacuzzi', 'pool', 'night', 'night', 'pool', 'jacuzzi', 'flex', 'monday', 'biceps', 'vacation', 'vacationmodeon', 'fitfam', 'fitstagram']"
