@GregAbbott_TX Imaginary open borders. Someone else is to blame for your failures @GregAbbott_TX? Typical useless #republican. 
#vagov A reminder from #WV - If you want better DO NOT vote #republican anywhere in any state. Don’t believe their… https://t.co/ZwAubVTCqe 
#Trump #republican #Republicans #January6thInsurrection #fucktrump #Fascist https://t.co/fmqYK6zW9v 
@gorskon Caviezel even looks like a #republican there.  Sad that he's so stupid. 
ICYMI: The Confusing Mr. Biden #trump #donaldtrump #donaldjtrump #republican #conservative #trump2024 #MAGA #KAG… https://t.co/kUYlt7OapU 
But @AddisonGDavis is nothing more than another demented #republican minion who needs to WASTE our tax dollars on g… https://t.co/gFEArAzVrz 
Listen - Follow - Share #republican #democrat #democrats #republicans #america #freethinker #history #forefathers… https://t.co/OgDaE2vMb7 
Listen - Follow - Share #republican #democrat #democrats #republicans #america #freethinker #history #forefathers… https://t.co/7djcnRbb8z 
as if the @GOP hasn't cost us enough. go ask #Vlad for money  @CLFSuperPAC.#republican #regeneron #russia https://t.co/LtqwxfREoV 
#vagov A reminder from #WV - If you want better DO NOT vote #republican anywhere in any state. Don’t believe their… https://t.co/ZwAubVTCqe 
But @AddisonGDavis is nothing more than another demented #republican minion who needs to WASTE our tax dollars on g… https://t.co/gFEArAzVrz 
Listen - Follow - Share #republican #democrat #democrats #republicans #america #freethinker #history #forefathers… https://t.co/OgDaE2vMb7 
Listen - Follow - Share #republican #democrat #democrats #republicans #america #freethinker #history #forefathers… https://t.co/7djcnRbb8z 
as if the @GOP hasn't cost us enough. go ask #Vlad for money  @CLFSuperPAC.#republican #regeneron #russia https://t.co/LtqwxfREoV 
#vagov A reminder from #WV - If you want better DO NOT vote #republican anywhere in any state. Don’t believe their… https://t.co/ZwAubVTCqe 
