@RVCJ_FB Yeeeuuu!!! #pune #punekar #puneretweets @RetweetsPune 
152/0😂😂😂🤦🏼😂😂😂#IndiaVsPak #indiaVsPakistan #IndianCricketTeam #India #INDvPAK #ind #Pune #punekar 
Prem ❤️#Pune #punekar #puneripatya #misal https://t.co/39U94PlgGZ 
@RVCJ_FB Yeeeuuu!!! #pune #punekar #puneretweets @RetweetsPune 
152/0😂😂😂🤦🏼😂😂😂#IndiaVsPak #indiaVsPakistan #IndianCricketTeam #India #INDvPAK #ind #Pune #punekar 
Prem ❤️#Pune #punekar #puneripatya #misal https://t.co/39U94PlgGZ 
Prem ❤️#Pune #punekar #puneripatya #misal https://t.co/39U94PlgGZ 
Update 🙌🏻#india #maharashtra #pune #punecity #punekar #puneri #punefoodie #punefood #puneblogger #beingpunekar… https://t.co/TBVrpFY4NB 
This is epic #punekar https://t.co/mFRGhtLTj4 
Which city is good Mumbai or Pune? VOTE NOW -&gt; https://t.co/p8Z1OX6RAB #mumbai #pune #city #mumbaikar #punekar… https://t.co/TaJmZ8PPe8 
A view of the #beautiful Kojagari Moon Today night in #pune#KojagiriPurnima #moon #light #punekar https://t.co/1ZBtnF9YST 
@swarada No! First 12 years at Shivaji Park/Mahim Mumbai and now 33 years in Pune. But now 💯#punekar 
Have the maturity to know sometimes silence is more powerful than having the last word.#MondayMotivation #punekar #Pune 
Prem ❤️#Pune #punekar #puneripatya #misal https://t.co/39U94PlgGZ 
Update 🙌🏻#india #maharashtra #pune #punecity #punekar #puneri #punefoodie #punefood #puneblogger #beingpunekar… https://t.co/TBVrpFY4NB 
This is epic #punekar https://t.co/mFRGhtLTj4 
Which city is good Mumbai or Pune? VOTE NOW -&gt; https://t.co/p8Z1OX6RAB #mumbai #pune #city #mumbaikar #punekar… https://t.co/TaJmZ8PPe8 
A view of the #beautiful Kojagari Moon Today night in #pune#KojagiriPurnima #moon #light #punekar https://t.co/1ZBtnF9YST 
@swarada No! First 12 years at Shivaji Park/Mahim Mumbai and now 33 years in Pune. But now 💯#punekar 
Have the maturity to know sometimes silence is more powerful than having the last word.#MondayMotivation #punekar #Pune 
Prem ❤️#Pune #punekar #puneripatya #misal https://t.co/39U94PlgGZ 
Update 🙌🏻#india #maharashtra #pune #punecity #punekar #puneri #punefoodie #punefood #puneblogger #beingpunekar… https://t.co/TBVrpFY4NB 
This is epic #punekar https://t.co/mFRGhtLTj4 
Which city is good Mumbai or Pune? VOTE NOW -&gt; https://t.co/p8Z1OX6RAB #mumbai #pune #city #mumbaikar #punekar… https://t.co/TaJmZ8PPe8 
A view of the #beautiful Kojagari Moon Today night in #pune#KojagiriPurnima #moon #light #punekar https://t.co/1ZBtnF9YST 
@swarada No! First 12 years at Shivaji Park/Mahim Mumbai and now 33 years in Pune. But now 💯#punekar 
