0
"['world', 'pasta', 'day', 'worldpastaday', 'pastalover', 'pastalovers', 'foodporn', 'foodlover', 'foodie', 'happiness', 'italia']"
"['world', 'pasta', 'day', 'worldpastaday', 'pastalover', 'pastalovers', 'foodporn', 'foodlover', 'foodie', 'happiness', 'italia', 'smile']"
"['amico', 's', 'pizza', 'ristorante', 'italian', 'comfort', 'food', 'italianfood', 'pasta', 'homecooking', 'pastalover', 'italiankitchen']"
"['autumnal', 'butteflies', 'worldpastaday', 'pasta', 'pastalover', 'cookbook', 'pastarecipes', 'organic', 'instapasta', 'pastagram']"
"['celebrate', 'world', 'pasta', 'day', 'haveagoodpasta', 'pasta', 'pastarecipe', 'pastalover', 'worldpastaday']"
"['what', 's', 'favourite', 'pasta', 'dish', 'pasta', 'pastadishes', 'pastafarian', 'pastaaddict', 'pastalover', 'pastatime', 'pastamania']"
"['like', 'pasta', 'worldpastaday', 'pastalover', 'masterplaster']"
"['love', 'pasta', 'well', 'mean', 'great', 'taste', 'pastaday', 'pasta', 'pastalover', 'pastalovers', 'pastaaddict']"
"['enjoy', 'delicious', 'pasta', 'pasta', 'food', 'foodporn', 'italianfood', 'foodie', 'pizza', 'instafood', 'pastalover']"
"['eatalian', 'sunday', 'italianfood', 'food', 'foodie', 'italy', 'italia', 'pastalover', 'pizzalover', 'cocinaitaliana', 'pizza', 'pasta']"
"['sourdough', 'pasta', 'cacciatore', 'donangienyc', 'sourdoughpasta', 'pastagoals', 'nycrestaurants', 'nyrestaurant', 'pastalover']"
"['it', 's', 'pasta', 'time', 'order', 'at']"
"['look', 'delicious', 'quick', 'pasta', 'recipe', 'right', 'place', 'italianfood', 'pizza', 'pastalover']"
"['friday', '22', '10', 'brother', 'showcastello', 'di', 'norcia', 'pizza', 'italianfood', 'pizzalovers', 'pastalover', 'cucinaitaliana']"
"['whitepasta', 'pasta', 'pastalover', 'foodphotography', 'food', 'whitesaucepasta', 'foodstagram', 'foodlover']"
"['pasta', 'sardina', 'my', 'version', 'one', 'versatile', 'ayuda', 'know', 'ayuda', 'pastalover', 'linguine', 'comfortfood']"
