0
"['tofu', 'scramble', 'win', 'meatfree', 'eggfree', 'dairyfree', 'whatveganseat', 'veganfood', 'plantbased', 'plantbaseddiet']"
"['cupcakecorneruk', 'panpacific', 'incredible', 'go', 'next', 'month', 'finger', 'cross', 'dairyfree', 'eggfree', 'peanutfree']"
"['oyster', 'apple', 'amp', 'horseradish', 'dress', 'eggfree', 'glutenfree', 'nutfree', 'seasonal', 'recipe']"
"['first', 'batch', 'egg', 'free', 'spooky', 'halloween', 'pancake', 'halloween', 'pancake', 'pumpkin', 'ghost', 'eggfree', 'allergy']"
"['cranberry', 'pistachio', 'cooky', 'happy', 'mind', 'happy', 'life', 'eggfree', 'vegetarian', 'festivehamper', 'delicious']"
"['yes', 'make', 'donut', 'free', 'egg', 'gluten', 'nut', 'dairy', 'want', 'recipe', 'donut', 'doughnut', 'eggfree']"
"['simply', 'eggless', 'delicious', 'eggfree', 'vegan', 'veglakeshore']"
"['dish', 'bake', 'worth', 'suffer', 'please', 'go', 'eggfree']"
"['boozy', 'faloudeh', 'ever', 'add', 'falodeh', 'favorite', 'cocktail', 'falodeh', 'vegan', 'glutenfree', 'eggfree']"
"['like', 'waitrose', 'amp', 'tesco', 'you', 've', 'decide', 'ignore', 'u', 'neither', 'loaf', 'wheatfree', 'eggfree', 'and']"
"['foodallergyuk', 'marksandspencer', 'cute', 'love', 'nutfree', 'eggfree', 'obsess', 'halloween', 'product']"
"['wonder', 'someone', 'decide', 'vegetarian', 'eggfree', 'cake', 'shop', 'would', 'mission', 'southlondon', 'thei']"
"['stumble', 'across', 'cute', 'vampire', 'crumpet', 'marksandspencer', 'halloween', 'eggfree', 'milkfree', 'nutfree']"
