0
"['rebelsanimal', 'thevegansociety', 'vegan', 'plantbased', 'save', 'planet', 'divert', 'subsidy', 'tax', 'me']"
"['rebelsanimal', 'thevegansociety', 'vegan', 'plantbased', 'save', 'planet', 'divert', 'subsidy', 'tax', 'me']"
"['themetskipper', 'vegan', 'plantbased', 'thevegansociety', 'save', 'planet', 'divert', 'subsidy', 'tax', 'me']"
"['rebelsanimal', 'thevegansociety', 'vegan', 'plantbased', 'save', 'planet', 'divert', 'subsidy', 'tax', 'me']"
"['plant', 'shelf', 'plant', 'standavaiable', 'now', 'plantstand', 'plantbased', 'home', 'green', 'shelf']"
"['new', 'podcast', 'plant', 'base', 'raw', 'tuna', 'atlanta', 'spreaker', 'atlanta', 'georgia', 'plantbased', 'pokebar', 'sushi']"
"['want', 'find', 'plantbased', 'seafood', 'listen', 'expert', 'newwavefoods', 'goodcatchfoods']"
"['new', 'video', 'eat', 'day']"
"['make', 'difference', 'choose', 'plantbased', 'animalbased', 'meal', 'lunch', 'find', 'series', 'of']"
"['best', 'sandwich', 'peta2021', 'vegan', 'food', 'award', 'plantbased']"
"['best', 'look', 'it', 's', 'vegan', 'vegan', 'plantbased', 'foodporn']"
"['tofu', 'scramble', 'win', 'meatfree', 'eggfree', 'dairyfree', 'whatveganseat', 'veganfood', 'plantbased', 'plantbaseddiet']"
"['plant', 'base', 'eat', 'make', 'u', 'feel', 'focus', 'plantbased', 'allvibesok']"
"['pumpkin', 'pecan', 'pancake', 'pumpkinspice', 'plantbased', 'vegansausages', 'justegg', 'sugarfreesyrup']"
"['wildernessuk', 'people', 'switch', 'plantbased', 'diet', 'rewild', 'may', 'able', 'turn', 'thing', 'around', 'unfor']"
"['plantbased', 'sector', 'sa', 'grow', 'rapid', 'pace', 'manufacturer', 'need', 'ensure', 'product', 's']"
"['unique', 'plantbased', 'superfood', 'blend', 'offer', '50', 'artisan', 'infusion', '100', 'tea', 'ava']"
"['rebelsanimal', 'nigel', 'farage', 'thevegansociety', 'vegan', 'plantbased', 'save', 'planet', 'divert', 'subsidy', 't']"
"['autumn', 'arrive', 'chillier', 'weather', 'warm', 'plantbased', 'soup', 'recipe', 'nutriciously']"
"['what', 's', 'good', 'replacement', 'honey', 'cooking', 'vegan', 'vegan', 'plantbased']"
"['october', 'what', 's', 'season', 'allplants', 'plantbased', 'plantbasedfood', 'foodie', 'london', 'united', 'kingdom']"
"['12', 'best', 'indoor', 'plant', 'india', 'decoration', 'plant', 'home', 'style', 'plantbased', 'gardeningtwitter', 'flower']"
"['found', 'plantbased', 'alternative', 'cappuccino', 'dug', 'drink', 'base', 'potato']"
"['thanks', 'hubbubuk', 'reminder', 'eatyourpumpkin', 'halloween2021', 'pumpkin', 'seed', 'plantbased', 'source', 'of']"
"['didyouknow', 'demand', 'plantbased', 'altmeats', 'expect', 'rise', '200', 'five', 'year', 'market', 'like', 'china', 'amp']"
"['pataksuk', 'announce', 'launch', 'new', 'indian', 'style', 'plantbased', 'range', 'consists', 'easy', 'cooking']"
"['pataksuk', 'announce', 'launch', 'new', 'indian', 'style', 'plantbased', 'range', 'consists', 'easy', 'cooking']"
"['pataksuk', 'announce', 'launch', 'new', 'indian', 'style', 'plantbased', 'range', 'consists', 'easy', 'cooking']"
"['sure', 'plantbased', 'animalfree', 'propaganda', 'term', 'stem', 'religious', 'ideology', '7th', 'day', 'adventist']"
"['campaign', 'name', 'plant', '2', 'sapling', 'special', 'thanks', 'volunteer', 'intern', 'shuchita', 'plant', 'plantbased']"
"['new', 'video', '3', 'easy', 'weeknight', 'dinner', 'vegan']"
