0
"['animalkillclock', 'usa', 'eat', 'dead', 'animal', 'go', 'vegan', 'whole', 'plantbaseddiet', 'healthier', 'plane']"
"['tofu', 'scramble', 'win', 'meatfree', 'eggfree', 'dairyfree', 'whatveganseat', 'veganfood', 'plantbased', 'plantbaseddiet']"
"['make', 'plant', 'base', 'cooking', 'easy', 'free', 'one', 'week', 'vegan', 'meal', 'plan']"
"['vegan', 'veganrecipes', 'veganism', 'plantbased', 'plantbaseddiet', 'nutrition', 'check', 'podomatic', 'episode', 've']"
"['rediscover', 'japan', 's', 'plant', 'eat', 'tradition', 'veganism', 'plantbaseddiet', 'japanfood']"
"['photo', 'shawn', 'wang', 'unsplash', 'plantbaseddiet', 'plant', 'amp', 'gardening']"
"['photo', 'swissgo4design', 'unsplash', 'outdoorpatios', 'outdoorkitchens', 'outdoors', 'outdoorfitness', 'plantbaseddiet']"
"['vegan', 'food', 'tl', 'vegan', 'plantbased', 'plantbaseddiet', 'wholefoodsplantbased']"
"['would', 'change', 'diet', 'reduce', 'impact', 'planet', 'plantbasedfood', 'plantbaseddiet', 'plantpowered']"
"['know', 'specific', 'nutrient', 'broken', 'along', 'different', 'part', 'journey', 'plantbaseddiet', 'no', 'fenol']"
"['try', 'alpha', 'food', 'plant', 'base', 'burrito', 'free']"
"['ruby', 'point', 'truly', 'care', 'climatecrisis', 'move', 'towards', 'plantbaseddiet', 't']"
"['attention', 'all', 'want', 'miss', 'this', 'vegan', 'veganfood', 'plantpower', 'veganlife', 'plantbaseddiet']"
"['plenty', 'way', 'reduce', 'grocery', 'bill', 'enjoy', 'healthy', 'balance', 'plantbaseddiet', 'check', 'o']"
"['hello', 'beautiful', 'vegan', 'plantbaseddiet', 'plantbased', 'eatwholeharvest', 'healthyfood', 'veganism', 'vegetarian']"
"['save', 'time', 'cooking', 'plant', 'base']"
"['diet', 'high', 'fat', 'lypazyme', 'create', 'meal', 'plantbaseddiet', 'no', 'fenol']"
"['first', 'holiday', 'season', 'eat', 'wholefoodplantbased', 'recipe', 'plantbased', 'plantbaseddiet']"
"['autoimmunedisease', 'effect', 'plantbaseddiet', 'good', 'check', 'podomatic', 'episode', 'vegan', 'visi']"
