0
"['met', 'new', 'neighbour', 'today', 'meet', 'oswald', '6', 'yr', 'old', 'pig', 'ndg', 'montreal', 'walkingstreetgirls', 'animalsmatter']"
"['enzc', 'excite', 'what', 's', 'water', 'line', 'mineblowing', 'thescienceworks', 'cure', 'hiv', 'covid', 'animalsmatter']"
"['help', 'animal', 'environment', 'adoptdontshop', 'animalcruelty', 'animalsmatter', 'climate', 'goveg', 'say', 'fur', 'help', 'protect']"
"['saddest', 'story', 'ndwyl', 'eatmeatbehappy', 'gotmilk', 'animal', 'meat', 'dairy', 'egg', 'govegan', 'animalsmatter']"
"['standfor16', 'c', 'mau', 'vietnam', 'covid19', 'enddogandcatmeattrade', 'animal', 'animalsmatter', 'info']"
"['don32208836', 'think', 'he', 's', 'say', 'mondaythoughts', 'naturephotography', 'animalsmatter', 'animation']"
