0
"['tofu', 'scramble', 'win', 'meatfree', 'eggfree', 'dairyfree', 'whatveganseat', 'veganfood', 'plantbased', 'plantbaseddiet']"
"['excuse', 'inhale', 'lunch', 'worldpastaday', 'still', 'meatfree', 'train', 'thus', 'veggie', 'lasa']"
"['happy', 'friday', 'halalmeat', 'halalmeats', 'meat', 'meatlover', 'meatporn', 'meatfree', 'meatball', 'meatlfullfriday']"
"['i', 'wrong', 'plant', 'protein', 'plantbased', 'meatfree', 'climateemergency']"
"['cop26', 'climate', 'climatecrisis', 'globalwarming', 'cop26glasgow', 'vegan', 'environment', 'meatfree', 'plantbased', 'come', 'on']"
"['weekly', 'meatfreemonday', 'inspiration', 'easy', 'fill', 'sweet', 'potato', 'halloumi', 'curry', 'mild', 'enough']"
"['easy', '20', 'minute', 'vegan', 'ground', 'beef', 'recipe', 'make', 'lentil']"
"['saw', 'first', 'advert', 'richmondfoods', 'vegan', 'meatfree', 'bacon', 'admittedly', 'middle', 'tivo', 'rec']"
"['check', 'late', 'blog', 'post', 'cop26', 'climateaction', 'climatecrisis', 'meatfree', 'veggie']"
"['amsterdam', 'could', 'show', 'u', 'future']"
"['crispy', 'tofu', 'stirfried', 'veggie', 'ooh', 'don', 't', 'mind', 'nutritioncoach1', 'vegan', 'meatfree', 'tofu', 'veggie']"
"['mariesegger', 'see', 'this', 'meatfree', 'meatsubstitute', 'foodhist']"
"['festive', 'find', 'sainsbury', 's', 'sainsburys', 'sainsburys', 'plantpioneers', 'veggie', 'vegetarian', 'vegan', 'meatfree']"
"['turkey', 's', 'life', 'amp', 'christmas', 'retweet', 'agree', 'vegetarian', 'vegan', 'meatfree', 'christmas', 'christmascountdown']"
"['jebernstone', 'indeed', 'do', 'share', 'emmacruises', 'enthusiasm', 'marella', 'show', 'service', 'great', 'meatfree', 'op']"
"['he', 's', 'gon', 'na', 'get', 'bother', 'satire', 'vegan', 'meatfree', 'comedy']"
