0
"['it', 's', 'tuesday', 'must', 'beetroot', 'coach', 'marlow', 'uk', 'beetroot', 'rotisol', 'rotisserie', 'rotisoire', 'repost']"
"['superfood', 'capsule']"
"['shameless', 'self', 'promotion', 'wait', 'tomorrow', 's', 'episode']"
"['they', 're', 'sick', 'beet', 'beetroot', 'beet', 'growyourown']"
"['mullet', '515', 'the', 'beet', 'down', 'mulletsvodka', 'beetpowder', 'ginger', 'grannyapple', 'beetroot', 'suicideprevention']"
"['scottytheliar', 'make', 'dud', 'deal', 'the', 'national', 'amp', 'beetroot', 'barnaby', 'joyce', 'precisely', 'nothing', 'amp', 'du']"
"['ground', 'plate', '3', 'hour', 'roast', 'caramelise', 'beetroot', 'super', 'quick', 'super', 'healthy', 'super', 'ta']"
"['beetroot', 'amp', 'weight', 'loss', 'beetroot', 'beetroot', 'beetrootjuice', 'beetrootsalad', 'delicious', 'foodie', 'healthy', 'yummy']"
"['healthy', 'beetroot', 'chickenmince', 'redlentil', 'curry', 'mushur', 'dal', 'vegetable', 'mince', 'chicken', 'curry']"
"['5', 'delicious', 'way', 'add', 'beetroot', 'diet', 'receive', 'benefit', 'beetroot', 'healthyfood', 'beeteootuk']"
"['pretty', 'pink', 'beetroot', 'lark', 'quite', 'please', 'mess', 'fridayvibes', 'inthepink', 'beetroot', 'kitchensinkdrama']"
"['beetroot', 'good', 'fiber', 'sourcefollow', 'u', 'yauvanya', 'natural', 'product', 'yauvanya', 'beetroot']"
"['b', 'e', 'e', 't', 'r', 'o', 'o', 't', 'scrub', 'beetroot', 'face', 'scrub', 'beetroot', 'scrub', 'home', 'beetroot', 'scrub', 'skincare', 'beauty']"
"['beetroot', 'benefit', '5', 'delicious', 'way', 'add', 'beetroot', 'diet']"
"['health', 'benefit', 'beetroot', 'health', 'nutrition', 'food', 'beetroot']"
"['beetroot', 'juice', 'juice', 'crop', 'well', 'eat', 'them', 'growforhealth', 'gyo', 'juice', 'allotment', 'beetroot', 'smoothy']"
"['it', 's', 'way', 'roll', 'day', 'fight', 'beetroot', 'i', 'm', 'cool', 'dayoff', 'beetroot']"
"['breakingnews', 'beetroot', 'health', 'benefit', 'homeeconomics', 'foodfacts', 'science', 'nitrate', 'fyp']"
"['role', 'beetroot', 'eyecare']"
