0
"['get', 'many', 'health', 'benefit', 'become', 'vegetarian', 'without', 'go', 'way', 'here', 's', 'steer']"
"['twoforone', 'tuesday', 'capetown', 'buy', 'one', 'burger', 'get', 'one', 'free', 'meaty', 'chicken', 'vegetarian', 'vegan', 'option']"
"['eat', 'green', 'we', 'cooked', 'vegetarian', 'meal', 'bbcwm', 'series', 'feature', 'coincide', 'cop26', 'listen']"
"['bangkok', 'restaurant', 'vegetarian', 'vegan', 'healthy', 'pic', 'delicious', 'amp', 'healthy', 'pizza', 'share', 'last', 'week', 'yello']"
"['terrace', 'restaurant', 'open', 'drink', 'breakfast', 'enjoy', 'vegetarian', 'full', 'breakfast', 'veggie', 'sausa']"
"['quinoa', 'amp', 'bean', 'stuffed', 'acorn', 'squash', 'recipe', 'vegan', 'vegetarian', 'healthmeals', 'autumncooking']"
"['vegetarian', 'diet', '5', 'health', 'benefit', 'follow', 'plant', 'base', 'diet']"
"['last', 'meat', 'free', 'mash', 'vegetarian', 'vegan']"
"['everything', 'always', 'want', 'know', 'vegan', 'plantbased', 'diet', 'but', 'afraid', 'ask', 'vegetarian', 'diet']"
"['vegetable', 'wellington', 'tasty', 'rat', '4', '5', 'vegetarian']"
"['speaksarahspeak', 'totally', 'agree', 'amp', 'like', 'people', 'put', 'label', 'vegetarian', 'vegan', 'label', 'food', 'o']"
"['mshrooms', '3rd', 'kingdom', 'neithr', 'vegetable', 'meat', 'someone', 'vegetarian', 'aren', 't', 'congruent', 'ea']"
"['we', 've', 'get', 'lot', 'fresh', 'amp', 'tasty', 'vegetarian', 'amp', 'vegan', 'option', 'today', 's', 'menu', 'click', 'see', 'full', 'selection', 'make']"
"['thehill', 'yes', 'corporation', 'people', 'hippo', 'people', 'vegetarian']"
"['top', 'vegetarian', 'vegan', 'trend', 'world', 'vegan', 'day', 'vegan', 'vegetarian', 'trend', 'worldveganday', 'shelfnow']"
"['homemade', 'vegan', 'pizza', 'so', 'good', 'food', 'veganfood', 'veganism', 'vegetarian', 'plantbasedfood', 'plantpowercouple']"
"['last', 'night', 's', 'homemade', 'pumpkin', 'soup', 'autumn', 'feel', 'bbcgoodfood', 'vegetarian']"
"['burgerking', 'spain', 's', 'madrid', 'go', 'vegetarian']"
"['enter', 'win', 'november', '1st', 'contestalert', 'giveaway', 'recipe', 'vegetarian']"
"['new', 'favourite', 'snack', 'cheese', 'kimchi', 'toastie', 'tasty', 'pick', 'crave', 'something', 'spicy', 'vegetarian']"
"['icymi', 'gt', 'gt', 'carrot', 'ginger', 'soup']"
"['halal', 'vegetarian', 'vegetarianism', 'islamic']"
"['katstillhere', 'go', 'eat', 'vegan', 'veganz', 'vegan', 'vegetarian']"
"['falafel', 'falafel', 'hummus', 'vegan', 'food', 'foodie', 'foodpornfood', 'vegetarian', 'instafood']"
"['world', 'anything', 'kind', 'animallover', 'animalactivist', 'loveanimals', 'vegan', 'vegetarian']"
"['feed', 'disease', 'fight', 'it']"
"['make', 'creamy', 'delicious', 'vegan', 'tomato', 'souphere', 's', 'recipe', 'gt', 'gt']"
"['time', 'favorite', 'dish', 'actually', 'vegetarian', 'butternut', 'squash', 'ravioli']"
"['sometimesatarian', 'comic', 'vegetarian']"
"['vegetarian', 'thalis', 'around', 'india']"
"['old', 'old', 'old', 'ad', 'national', 'geographic', 'protose', 'meat', 'substitute', 'fakemeat', 'protose', 'vegetarian']"
"['update', 'journey', 'lner', 'electric', 'train', 'lot', 'vegetarian', 'option', 'lunch', 'amp', 'plant', 'base', 'alternative', 't']"
"['definition', 'flavourful', 'pure', 'vegetarian', 'food', 'soon', 'set', 'change', '2', 'day', 'away', 're', 'op']"
"['we', 've', 'get', 'lot', 'fresh', 'amp', 'tasty', 'vegetarian', 'amp', 'vegan', 'option', 'today', 's', 'menu', 'click', 'see', 'full', 'selection', 'make']"
"['super', 'fresh', 'mojito', 'symmetry', 'photostream', 'correctivecocktails', 'vegetarian', 'eaglescliffe']"
"['yipppeeeee', 'force', 'pregnancy', 'i', 'm', 'left', 'lean', 'pro', 'choice', 'human', 'animal', 'vegetarian']"
"['oh', 'wait', 'vegetarian', 'mean', 'cool', 'rape', 'too', 'end', 'game', 'factory', 'farm', 'cool']"
"['alabasterope', 'think', 'eat', 'meat', 'good', 'planet', 'human', 'need', 'animal', 'stuff', 'vegetarian', 'great']"
"['vegetarian', 'love', 'morning', 'vegetarian', 'food', 'sake', 'climate', 'let', 's', 'see', 'vegetarian', 'cooking', 'tv']"
"['halal', 'free', 'diwali', 'cornitos', 'vegetarian', 'product', 'halal', 'certify', 'halal', 'batch', 'sell', 'veg']"
"['look', 'dairyfree', 'lactosefree', 'glutenfree', 'organic', 'nutfree', 'wheatfree', 'vegan', 'veganism', 'eggfree', 'vegetarian', 'soyfree', 'halal']"
"['love', 'easy', 'find', 'alternative', 'meat', 'burger', 'israel', 'allow', 'vegan', 'vegetarian', 'diner', 'enjoy']"
"['top', '5', 'thing', 'pea', 'we', 're', 'fan', 'pea', 'pancake', 'special', 'week', 'vegetarian', 'amp', 'glutenfree', 'hm']"
"['morning', 'all', 'healthforall', 'wellness', 'wellnessjourney', 'healthyeating', 'healthylife', 'vegan', 'vegetarian', 'balance']"
"['look', 'vegetarian', 'recipe', 'inspiration', 'vegetarianawarenessmonth', 'take', 'pick', 'selection', 'o']"
"['utterly', 'delicious', 'deeply', 'savoury', 'fill', 'satisfy']"
