0
"['target', 's', 'black', 'friday', 'deal', 'arrive', 'the', 'fitfood', 'body', 'fullbodyworkout']"
"['top', '5', 'self', 'care', 'practice', 'want', 'rbg', 'on', '24hourfitness', 'fitfood']"
"['fitfood', 'organic', 'glittery', 'nail', 'art', 'roll']"
"['asics', 'dynaflyte', '3', 'run', 'shoe', 'review', 'impressive', 'fitfood', 'weightlift']"
"['revel', 'marathon', 'big', 'bear', 'race', 'result', 'recap', 'fullbodyworkout', 'exercise', 'fitfood']"
"['jenna', 'jameson', 'celebrates', 'lose', '80', 'lb', 'go', 'keto', 'share', 'beachbody', 'fitfood']"
"['full', 'body', 'workout', 'routine', 'get', 'lean', 'less', 'fitfood', 'veganbodybuilding', 'exercise']"
"['find', 'legit', 'lgbtq', 'therapist', 'will', 'exercisemotivation', 'body', 'fitfood']"
"['every', 'marathon', 'runner', 'need', 'know', 'week', 'before', 'endurance', 'fitfood', 'instafit']"
"['pssst', 'mucus', 'try', 'tell', 'something', 'your', 'armsworkout', 'fitfood']"
"['five', 'tip', 'master', 'meal', 'prep', 'fitfood', 'body', 'fullbodyworkout']"
"['fda', 'approve', 'oral', 'flu', 'treatment', 'only', 'gofitness', 'body', 'fitfood']"
"['meet', 'flamingo', 'choose', 'adventure', 'of', 'body', 'fitfood', 'fitnessinthepark']"
"['2018', 'newport', 'weekend', 'fitfood', 'fatlossprogram', 'fitnesstips']"
"['i', 'm', 'love', 'lately', '125', 'cardio', 'fitfood']"
"['tip', 'easy', 'way', 'rid', 'body', 'plastic', 'loseweight', 'fitfood']"
"['3', 'ingredient', 'pumpkin', 'spice', 'ball', 'gluten', 'free', 'veganbodybuilding', 'fitfood']"
"['4', 'way', 'money', 'talk', 'partner', 'without', 'it', 'body', 'fitfood', 'fitnesstips']"
"['fitfood', 'organic', '3', 'ml', 'spa', 'natural', 'essential', 'oil', 'set']"
"['fitfood', 'organic', 'transparent', 'makeup', 'storage', 'case']"
"['less', 'really', 'be', 'more', 'skip', 'care', 'simplify', 'way', 'to', 'fitfood', 'body', 'fitnessblog']"
"['veggie', 'crunch', 'lip', 'smack', 'video', 'asmr', 'fitfood', 'body', 'globalfitness']"
"['fitfood', 'organic', 'breathable', 'mesh', 'waist', 'trainer']"
"['here', 's', 'what', 's', 'behind', 'dry', 'flaky', 'skin', 'nose', 'fatlossprogram', 'fitfood', 'body']"
"['scientific', 'reason', 'always', 'try', 'remember', 'fitnesstips', 'body', 'fitfood']"
"['4', 'ingredient', 'salsa', 'breakfast', 'bake', 'shred', 'exercise', 'fitfood']"
"['pete', 'davidson', 'ariana', 'grande', 's', 'breakup', 'pretty', 'much', 'fitfood', 'chestworkout']"
"['sample', 'macro', 'day', 'workout', 'try', 'volume', '4', 'fitfood', 'fitspiration', 'exercise']"
"['stop', 'search', 'buffalo', 'plaid', 'we', 've', 'fitfood', 'workoutoftheweek', 'body']"
"['10', 'awesome', 'health', 'benefit', 'hug', 'make', 'want', 'to', 'bodybuilding', 'fitfood']"
"['spot', 'matte', 'lipstick', 'leave', 'lip', 'body', 'fitfood', 'fitnessquotes']"
"['exclusive', 'arianna', 'huffington', 'course', 'corrects', 'fitfood', 'cityfitgirls', 'exercise']"
"['lilly', 'singh', 'say', 'take', 'mental', 'health', 'break', 'from', 'coupleworkout', 'fitfood']"
"['bad', 'memory', 'keep', 'play', 'repeat', 'here', 's', 'a', 'body', 'fitfood', '24hourfitness']"
"['weird', 'baby', 'thing', 'keep', 'bodybuilding', 'fitfood', 'fitnesschallenge']"
"['bombshell', 'name', 'best', 'bikini', 'body', 'time', 'fitnesstip', 'fitfood']"
"['family', 's', 'melanoma', 'scare', 'weightlosswednesday', 'fitfood']"
"['fitfood', 'organic', 'woman', 'sleeveless', 'fitness', 'vest']"
"['deal', 'secondhand', 'trauma', 'terrible', 'thing', 'happen', 'fatlossprogram', 'fitfood']"
"['fitfood', 'organic', 'natural', 'organic', 'coconut', 'oil', 'hair']"
"['fitfood', 'organic', 'makeup', 'brush', 'cleaning', 'pad']"
"['common', 'reason', 'stress', 'and', 'it', 's', 'body', 'fitfood', 'loseweight']"
"['best', 'beauty', 'deal', 'score', 'black', 'friday', 'bodyfitness', 'fitfood', 'body']"
"['let', 'seasonal', 'affective', 'disorder', 'ruin', 'winter', 'fitfood', 'weightlosswednesday']"
"['sriracha', 'everything', 'foodphotography', 'foodporn', 'hotsauce', 'egg', 'fitfood']"
"['make', 'run', 'easy', 'fitfood', 'gymlife']"
"['halloween', 'schmalloween', 'let', 's', 'make', 'witchiness', 'year', 'round', 'thing', 'fitfood', 'irishfitfam']"
"['win', 'next', 'barbecue', 'vegan', 'burger', 'body', 'fitfood', 'weightlosswednesday']"
"['mom', 's', 'romantic', 'tendency', 'point', 'directly', 'to', 'body', 'fitnesschallenge', 'fitfood']"
"['6', 'rule', 'heard', 'run', 'break', 'right', 'now', 'fitfood', 'yoga', 'workoutoftheweek']"
"['7', 'lesser', 'know', 'wellness', 'product', 'grab', 'brandless', 'the', 'glute', 'fitfood']"
"['hat', 'arm', 'hair', 'whole', 'life', 'love', 'it', 'exercise', 'training', 'fitfood']"
"['fitfood', 'organic', 'nail', 'polish', 'remover', 'cotton', 'wipe', 'set']"
"['feeling', 'best', 'friend', 's', 's', 'o', 'fitgirls', 'fitblr', 'fitfood']"
"['fitfood', 'organic', 'hang', 'aromatherapy', 'fragrance', 'pack']"
"['michelle', 'obama', 'say', 'past', 'miscarriage', 'make', 'her', 'fitfood', 'cityfitgirls', 'armsworkout']"
"['tip', 'erection', 'tell', 'health', 'fatlossprogram', 'fitfood', 'fitnesstyle']"
"['revel', 'marathon', 'big', 'bear', 'race', 'result', 'recap', 'fitnessbody', 'fitfood', 'exercise']"
