0
"['still', 'blast', 'vacation', 'texas', 'lyly', 'bell', 'virginia', 'beach', 'october', '2021', 'bikinishoot', 'summerbody']"
"['quick', 'pick', 'up', 'train', 'cut', 'summerbody', 'fitness', 'backatit', 'life', 'lifestyle', 'hobby', 'premierprotein', 'bodybuilding']"
"['flex', 'flex', 'train', 'cut', 'summerbody', 'fitness', 'backatit', 'life', 'lifestyle', 'hobby', 'premierprotein']"
"['summer', 'leave', 'summerbody', 'summer', 'miamifall', 'fall', 'naked', 'nature', 'beach']"
"['love', 'back', 'gratitide', 'upperbody', 'work', 'pump', 'fitness', 'musicandmuscles', 'gain', 'summerbody', 'acea', 'mrms19']"
"['late', 'night', 'work', 'quad', 'lowerbody', 'legday', 'work', 'pump', 'fitness', 'musicandmuscles', 'gain', 'summerbody', 'acea', 'mrms19']"
"['i', 'm', 'come', 'back', 'summerbody']"
"['work', 'towards', 'summerbody']"
"['reason', 'i', 'm', 'finer', 'yo', 'ni', 'a', 'shoulder', 'triceps', 'upperbody', 'musicandmuscles', 'melanin', 'humpday', 'summerbody']"
"['uh', 'yeah', 'i', 'm', 'really', 'nice', 'skinhead', '2020', 'waybackwednesday', 'shavedhead', 'buzzcut', 'summerbody']"
"['day', '3', 'let', 's', 'goooooooo', '30daychallenge', 'exercise', 'mokhabamustfall', 'summerbody', 'lockdownbody']"
"['marcy', 'awesome', 'marcy', 'elago', 'virginia', 'beach', 'august', '2021', 'beachshoot', 'bikinishoot', 'summerbody']"
"['beach', 'view', 'wildbook', 'beachgirl', 'summerbody', 'hotgirlsummer', 'bootybuilding', 'blackhair', 'camming', 'instacamgirls']"
"['watermelon', 'squash', 'load', 'glute', 'musicandmuscles', 'melanin', 'summerbody', 'acea', 'mrms19', 'mrusa18', 'hairy', 'ab']"
"['upper', 'body', 'post', 'gym', 'pump', 'gymguys', 'muscle', 'vpl', 'bulge', 'guysintights', 'nikepro', 'musclegrowth', 'summerbody']"
