0
"['sense', 'come', 'wave', 'old', 'repeat', 'never', 'end', 'pop', 'music', 'winteriscomingwell', 'least', 'aren', 't']"
"['currently', '34', 'mountain', 'u', 'even', 'excite', 'winteriscoming', 'ricwilkinson']"
"['hello', '41', 'winteriscoming']"
"['here', 's', 'perfect', 'reset', 'holiday', 'winteriscoming', 'holidayseason', 'livingroomdecor', 'habitat', 'restore', 'cape', 'ma']"
"['thought', 'winterbearsnft', 'nft', 'nfts', 'winteriscoming', 'ethereum']"
"['winterbearsnft', 'pfp', 'follow', 'immediately', 'winteriscoming']"
"['recently', 'come', 'across', 'many', 'fan', 'gameofthrones', 'tell', 'winteriscoming', 'load', 'none']"
"['thehamball', 'trulsnft', 'winterbearsnft', 'right', 'answer', 'winteriscoming']"
"['like', 'autumn', 'yorkshiredales', 'fall', 'winter', 'gently', 'knock', 'door', 'morning', 'winteriscoming']"
"['look', 'back', '1', 'year', 'ago', 'today', 'memory', 'lol', 'nlwx', 'steadybrook', 'winteriscoming']"
"['ready', 'upcoming', 'winter', 'season', 'fall', 'full', 'effect', 'fallfashion', 'winteriscoming']"
"['heavy', 'blanket', 'season', 'again', 'winteriscoming', 'bringonautumn']"
"['feel', 'winter', 'dryness', 'thodi', 'thand', 'bhi', 'laa', 'please', 'mumbaiwinters', 'autumn', 'winteriscoming']"
"['go', 'winteriscoming']"
"['winteriscoming', 'brace', 'madhur', 'moisture', 'restore', 'night', 'cream', 'say', 'bye', 'bye', 'dry', 'skin', 'buy', 'o']"
"['good', 'morning', 'felt', 'like', 'get', 'middle', 'night', 'darker', 'morning', 'ready', 'coffee', 'winteriscoming']"
"['another', 'design', 'wip', 'snowman', 'winteriscoming', 'winter', 'snowman', 'draw', 'illustration', 'illustrationsofinstagram']"
"['use', 'winter', 'water', 'heater', 'winteriscoming', 'winter2021', 'winterwear', 'delhiwinter', 'waterheater']"
"['customary', 'winteriscoming', 'hashtag', 'winter', 'portrait', 'ootd', 'photooftheday']"
"['good', 'thing', 'see', 'come', 'hoodies', 'season', 'near', 'winteriscoming']"
"['winteriscoming', 'get', 'nwa', 'old', 'school', 'rule', 'match', 'realladyfrost', 'skyebyee', 'fitetv']"
