0
"['morning', 'walk', 'springishere', 'springflowers', 'springcolours', 'nofilter', 'ballarat', 'north']"
"['first', 'gardenia', 'bloom', 'flower', 'bring', 'back', 'many', 'childhood', 'memory', 'springflowers', 'gardenlove']"
"['morning', 'walk', 'springishere', 'springflowers', 'springcolours', 'nofilter', 'sing', 'shade', 'ballarat', 'north']"
"['some', 'cool', 'perennial', 'variety', '2022', 'spring', 'summer', 'season', 'dutchheritagegardens', 'springflowers']"
"['check', 'top', '10', 'bulb', 'plant', 'fall']"
"['morning', 'walk', 'springishere', 'springflowers', 'springcolours', 'nofilter', 'love', 'one', 'get', 'outside', 'fence', 'ball']"
"['morning', 'walk', 'springishere', 'springflowers', 'springcolours', 'nofilter', 'pink', 'azalea', 'push', 'ballarat', 'north']"
"['i', 'm', 'enjoy', 'foxglove', 'year', 'foxglove', 'foxglove', 'tallplants', 'springflowers', 'springgardening']"
"['morning', 'walk', 'springishere', 'springflowers', 'springcolours', 'nofilter', 'jewel', 'morning', 'air', 'ballarat', 'north']"
"['fall', 'settle', 'already', 'dream', 'springflowers', 'best', 'time', 'start']"
"['morning', 'walk', 'springishere', 'springflowers', 'springcolours', 'nofilter', 'josephjstone', 'ballarat', 'north']"
"['35', 'pansy', 'forgetmenots', 'blueflowers', 'azalea', 'clematis', 'pansy', 'springflowers', 'hellebore', 'lilac', 'daffodil']"
"['morning', 'walk', 'springishere', 'springflowers', 'springcolours', 'nofilter', 'ballarat', 'north']"
"['morning', 'walk', 'springishere', 'springflowers', 'springcolours', 'nofilter', 'yellow', 'pansy', 'pop', 'sunshine', 'ballarat']"
"['morning', 'walk', 'springishere', 'springflowers', 'springcolours', 'nofilter', 'ballarat', 'north']"
