0
"['insta', '4yrs', 'ago', 'gamestop', 'elporto', 'neighborhood', 'beachtown', 'bar', 'summer', 'dodger', 'worldseries', 'thisteam']"
"['hello', 'summer', 'youth', 'unisex', 'teeprice', '23', '99', 'usdshop', 'bonfire']"
"['wait', 'summer', 'mango', 'season', 'relish', 'real', 'taste', 'mango', 'rasnainsta', 'e']"
"['at', 'core', 'tale', 'two', 'bestfriends', 'one', 'best', 'summer', 'life', 'laugh', 'figh']"
"['join', 'nico', 'coworking', 'trip', 'malaga', 'spain', 'plan', 'extend', 'summer', 'little', 'bit', 'more']"
"['hello', 'summer', 'youth', 'unisex', 'teeprice', '23', '99', 'usdshop', 'bonfire']"
