0
"['lucyalice85', 'definitely', 'go', 'give', 'go', 'winterwarmer']"
"['time', 'year', 'thermostatwars', 'wearajumper', 'homeheating', 'winterheating', 'winterwarmer']"
"['fuzzy', 'wuzzy', 'pillowcase', 'two', '13e', 'm', 'amp', 's', 'boo', 'love', 'em', 'snuggly', 'cat', 'clean', 'sofa', 'snuggle', 'winterwarmer']"
"['curry', 'lentil', 'soup', 'soup', 'placestoeat', 'winterwarmer', 'comfortfood', 'wick']"
"['perfect', 'winterwarmer']"
"['hard', 'believe', 'october', 'thursday', 'stroll', 'faithlegg', 'winterwarmer', 'clearskies', 'waterford']"
"['first', 'winter', 'warmer', '2021', 'chickencasserole', 'winterwarmer', 'slowcookerrecipes', 'slowcooker']"
"['go', 'first', 'winter', 'casserole', 'season', 'chickencasserole', 'winterwarmer', 'slowcookerrecipes', 'slowcooker']"
"['slow', 'cooked', 'beef', 'stew', 'nice', 'family', 'winterwarmer']"
"['perfect', 'day', 'slow', 'cooker', 'on', 'winterwarmer']"
"['nothing', 'well', 'warm', 'night', 'set', 'scrummy', 'risotto', 'winterwarmer', 'comfortfood']"
"['step', 'warm', 'cosy', 'relaxation', 'sanctuary', 'reconnect', 'sens', 'winterwarmer', 'indulge', 'jaccuzi']"
