0
"['90', '552', '352', '61', '03', 'sadece', 'whatsapp', 'adana', 'adanavippartner', 'adana', 't', 'r', 'adanayenisi', 'adanaotelegelenvippartner']"
"['volume', 'pls', 'airsoft', 'adanaairsoft', 'mersinairsoft', 'ukurovaairsoft', 'sigsauer', 'atairsoft', 'sigsauerproforce']"
"['area', 'clear', 'airsoft', 'adanaairsoft', 'mersinairsoft', 'ukurovaairsoft', 'atairsoft', 'pistol', 'pewpew', 'bb', 'vfc', 'at']"
"['rugal', 'bull', 'big', 'move', 'chikaisoo', 'joe', 'adana']"
"['little', 'amal', 's', 'journey', 'gunebakan85', 'gaziantep', 'ernbozkurt', 'adana', 'ayhanmehmettt', 'athens', 'piero', 'cruciatti', 'milan']"
"['taivas', 'true', 'indeed', 'agree', 'how', 'serve', 'adana']"
"['okay', 'let', 's', 'turkish', 'adana', 'kebabi', 'tonight', 'tft', 'whatsforlunch', 'whatsfordinner', 'tasty', 'cucina']"
"['makinist', 'cineheritage', 'sinema', 'adana', 'makinist', 'adanasinemamiras', 'k', 'lt', 'relmiras', 'cinemaheritage', 'cinema']"
"['today', 's', 'office', 'adana', 'hiltonsa', 'tuncergokcen']"
"['another', 'breakthrough', 'lot', 'thursday', 'adana', 'turkia', 'hayallar', 'sen', 'ask', 'a', 'k']"
