0
"['soooo', 'true', 'say', 'base', 'upon', 'past', 'experience', 'friendshipquotes', 'lifelessons', 'thoughtfortheday']"
"['click', 'photo', 'night', 'program', 'i', 'm', 'happy', 'night', 'dosti', 'friendshipquotes', 'and', 'hap']"
"['friendship', 'golden', 'thread', 'tie', 'heart', 'world', 'john', 'evelyn', 'quote', 'friendshipquotes']"
"['guess', 'resi', 'insta', 'marcovancreij', 'en', 'facebooklozerob', 'dinertime', 'friendship', 'friendshipquotes', 'yggep63']"
"['inspire', 'you', 'let', 'know', 'comment']"
"['friend', 'family', 'friend', 'become', 'family', 'friendshipquotes', 'quote', 'bff', 'friendcircle']"
"['vital', 'iamsijilagos', 'deep', 'sijilagos', 'trueyarns', 'fact', 'friendship', 'friend', 'friendshipquotes']"
