0
"['isay', 'norita', 'yeah', 'call', 'friend', 'friendzone']"
"['date', 'friend', 'good', 'idea']"
"['king', 'friendzone']"
"['grab', 'relationship', 'ebook', 'escape', 'friend', 'zone', 'borrow', 'friendzone', 'datingadvice']"
"['art', 'friend', 'zone', 'shalinipandey', 'friendzone', 'love', 'relationship', 'tollywood', 'actress', 'coffeeinachaicup']"
"['wish', 'brain', 'map', 'tell', 'heart', 'go', 'caption', 'restaurant', 'rjsalmankhan', 'friendzone', 'd']"
"['bought', 'unripe', 'banana', 'take', 'turn', 'eat', 'like', 'friendzone', 'iykyk']"
"['give', 'amp', 'take', 'integrity', 'heart', 'soul', 'theworldisyours', 'helpdefense', 'friend', 'friendzone']"
