0
"['beautiful', 'caroline', 'spending', 'time', 'friend', 'goodfriends', 'lansing', 'illinois']"
"['u', 'start', 'use', 'ur', 'private', 'insta', 'account', 'there', 'go', 'back', 'main', 'account', 'goodfriends', 'mypeople', 'privatelife']"
"['it', 's', 'last', 'day', 'vacay', 'prepared', 'next', 'one', 'good', 'feel', 'sundaythoughts', 'goodfood', 'goodfriends', 'goodtimes', 'vacation']"
"['affleck', 's', 'batman', 'scale', '1', '10', 'goodjob', 'goodfriends', 'spirit', 'focus', 'easyme', 'forme', 'scarface', 'youseehow']"
"['date', 'night', 'last', 'night', 'good', 'time', 'good', 'friend', 'datenight', 'goodfriends', 'funtimes']"
"['goodmorning', 'goodfriends', 'mariarbriggs', 'daschuerthing', 'boardmanhouseinn', 'easthaddamconnecticut', 'east', 'haddam', 'conn']"
"['food', 'brings', 'people', 'together', 'goodfriends', 'goodfood']"
"['homemade', 'smores', 'goodfriends', 'chernackpeter', 'mariarbriggs', 'kavindpan']"
"['weekendvibes', 'hike', 'goodfriends', 'chernackpeter', 'mariarbriggs', 'kavindpan', 'easthaddamconnecticut']"
"['even', 'service', 'goodbuddies', 'fellowmusician', 'goodfriends', 'brother']"
"['hike', 'peak', 'district', 'friend', 'hike', 'nature', 'turtlerock', 'goodfriends', 'goodcompany', 'earlystart']"
"['bit', 'cheeky', 'paranormalinvestigation', 'the', 'village', 'mansfield', 'paranormal', 'paracrew', 'goodfriends']"
"['garyhgoodridge', 'absolutely', 'quality', 'quantity', 'friend', 'goodfriends']"
"['friend', 'get', 'me', 'hsppybirthdaytome', 'goodfriends']"
"['little', 'hang', 'time', 'goodyimes', 'goodfriends', 'justuswhiskey', 'at', 'brother', 'justus', 'whiskey', 'company']"
"['little', 'hang', 'time', 'goodyimes', 'goodfriends', 'justuswhiskey', 'brother', 'justus', 'whiskey', 'company']"
"['good', 'mate', 'richard', 'goodfriends', 'mate', 'friendship']"
"['meet', 'birthday', 'ofgus', 'ferrariwith', 'juliagenovevab', 'amp', 'williamkozy', 'funtimes', 'goodfriends']"
"['good', 'friend', 'matter', 'much', 'life', 'suck', 'make', 'laugh', 'aboshirzad', 'goodfriends']"
"['throwbackthursday', 'run', 'urbanforest', 'goodtimes', 'goodfriends', 'pacificnorthwest', 'forest', 'park', 'portland', 'oregon']"
"['throwbackthursday', 'goodtimes', 'goodfriends', 'pacificnorthwest', 'bend', 'whitewater', 'park']"
"['live', 'podcast', 'parker', 'brother', 'return', 'spreaker', 'bff', 'comedy', 'food', 'goodfriends', 'letsgobrandon']"
"['real', 'friend', 'life', 'realfriends', 'friendshipandloyalty', 'goodfriends']"
"['love', 'lovely', 'last', 'night', 'odysseas', 'birthday', 'celebration', 'italiangirls', 'mickey', 'love', 'goodfriends']"
"['drank', 'champagne', 'sophiemillsstudio', 'nice', 'see', 'you', 'allthechampagne', 'funtimes', 'goodfriends']"
"['goodfriends', 'goodnight', 'goodbourbon', 'opa', 'grill', 'tavern']"
"['there', 's', 'well', 'way', 'celebrate', 'birthday', 'this', 'demozacafe', 'goodfriends', 'godisgood']"
"['birthday', 'park', 'family', 'goodfriends', 'love', 'blessedandgrateful', 'kingtype', 'favor', 'missflanders', 'parker']"
