0
"['shortstorykids', 'delfi', 'lonely', 'dolphin']"
"['alphaseverafter', 'contemporaryromancereads', 'perfect', 'enjoy', 'lovestories', 'kind', 'writingcommunity']"
"['know', 'it', 'author', 'know', 'it']"
"['fence', 'thereisnoperfectending', 'sundayvibes', 'lovepoetry', 'lovestories', 'womenstorytellers', 'iwrite', 'writerscommunity']"
"['love', 'magical', 'christmas', 'romance', 'elliedarkins', 'perfect', 'escape', 'amreading', 'lovestories']"
"['wonder', 'read', 'next', 'sundayreads', 'lovestories', 'autumnreads']"
"['shortstorykids', 'dayane', 'bad', 'girl']"
"['l', 'k', 'e', 'u', 'lovestories', 'irishpoet', 'lovestory', 'ilikeyou']"
"['shortstorykids', 'honest', 'princess']"
"['shortstorykids', 'girl', 'love']"
"['think', 'sears', 'think', 'meeting', 'wife', 'there', 'jpktik', 'lovestories']"
"['shortstorykids', 'dream']"
"['amy', 'ever', 'get', 'friendzone', 'romancenovels', 'halloween', 'lovestories']"
"['reading', 'read', 'smalltown', 'lovestories', 'signup', 'newsletter']"
"['can', 't', 'wait', 'hallmarkchannel', 'christmas', 'movie', 'start', 'friday', 'lovestories', 'movie', 'cocco']"
"['jennifer', 'neugin', 'contemporaryromancereads', 'perfect', 'enjoy', 'lovestories', 'kind', 'writingcommunity']"
