0
"['littlecaesars', 'please', 'sponsor', 'man', 'dylandolph', 'pizzapizza']"
"['skip', 'littlecaesars', 'lunch', 'today', 'bad', 'decision', 'life', 'hotandready', 'pizzapizza', 'littlecaesars']"
"['littlecaesars', 'deep', 'dish', 'lunch', 'combo', 'slap', 'deepdish', 'littlecaesars', 'slap', 'pizzapizza']"
"['wife', 's', 'boyfriend', 'order', 'shaqaroni', 'supper', 'go', 'watch', 'epic', 'show', 'swuid', 'game', 'twist', 'pizzapizza']"
"['great', 'day', 'normandy', 'barn', 'farm', 'pizza', 'field', 'trip', 'warrenwill', 'fieldtripfun', 'pizzapizza']"
"['yesterday', 'great', 'day', 'longmont', 'co', 'ourcenter', 'pizzapizza']"
"['pizza', 'pizza', 'buy', '1', 'get', '2nd', 'pizza', 'half', 'price', '5', '7pm', 'every', 'wednesday', 'amp', 'friday', 'takeaway', 'pizzapizza']"
"['cheeeeeeeeeese', 'pizzapizza', 'dog', 'love', 'pizza', 'pizzacones', 'dog', 'fall']"
"['crave', 'pizza', 'today', 'favorite', 'type', 'pizzapizza', 'pizzabytheplace']"
"['boycott', 'pizzapizza', 'pizzapizzaltd', 'bad', 'pizza', 'chain', 'canada', 'every', 'canadian', 'know', 'this', 'pizzapizzaltd']"
"['pizzapizza', 'bad', 'customer', 'service', 'canada', 'pizzapizzaltd', 'never', 'order', 'shit', 'pizza', 'chain', 'again']"
"['and', 'game', 'chess', 'begin', 'obsess', 'pizza', 'pizzapizza']"
