0
"['decision', 'decision', 'which', 'would', 'pick', 'alsafafoods', 'pizza', 'halal', 'halalfood', 'pizzalover', 'pizzalovers']"
"['what', 's', 'favourite', '62', 'hydration', 'margherita', 'pizzauk', 'pizzagram', 'pizzalovers', 'pizzaiolo', 'penn']"
"['idea', 'like', 'pizza', 'dough', 'make', 'toss', 'round', 'mondaymotivation', 'happymonday', 'pizzalovers', 'dominospizzaro']"
"['think', 'fruitonpizza', 'debate', 'that', 's', 'personal', 'choice', 'equal', 'opportunity', 'pizzalovers', 'establishment']"
"['try', 'recipe', 'organic', 'cauliflower', 'pizza', 'crust']"
"['buy', 'one', 'large', 'get', 'regular', 'pizza', 'free', 'freepizza', 'pizza', 'pizzatime', 'pizzalovers']"
"['good', 'nice', 'order', 'pizza', 'every', 'time', 'msfoodandcafe', 'pizza', 'pizzalovers', 'food', 'foodporn', 'pizzalover']"
"['50', 'pizza', 'hut', 'delivery', '7', 'day', 'week']"
"['welcome', 'weekend', 'order', 'squisito', 'enjoy', 'meal', 'taste', 'bud', 'thank', 'for', 'pizzalovers']"
"['friday', 'make', 'pizza', 'ooni', 'pizzalovers', 'pizza']"
"['spin', 'block', 'pizza', 'dough']"
"['pizza', 'peel', 'unique', '100', 'food', 'grade', 'quality', 'pizzalovers', 'pizzalover']"
"['pizza', 'low', 'carb', 'pizza', 'pizzalovers', 'pizzalowcarb', 'comparteketo', 'recetasfaciles', 'facilketo', 'madrid', 'spain']"
"['come', 'try', 'frutti', 'di', 'mare', 'must', 'uffizziitalian', 'available', 'order', 'online', 'link', 'bio', 'pizzalovers']"
"['can', 't', 'decide', 'pepperoni', 'plain', 'get', 'both', 'eleventhstreetpizza', 'pizzalovers']"
"['excite', 'this', 'follow', 'link', 'keen', 'come', 'along', 'pizza', 'pizzalovers']"
"['friday', '22', '10', 'brother', 'showcastello', 'di', 'norcia', 'pizza', 'italianfood', 'pizzalovers', 'pastalover', 'cucinaitaliana']"
"['make', 'pizza', 'home', 'pizzalovers', 'pizzalover', 'pizzaloversofinstagram', 'pizzalovers']"
"['something', 'new', 'launch', 'thepizzapress', 'craftyourstory', 'pizzatime', 'pizzagram', 'pizzadelivery', 'pizzalovers']"
