0
"['we', 've', 'get', 'daily', 'drink', 'special', 'goats2sc', '5ptsoasis', 'fivepointssc', 'drink5points', 'eat5points', 'drinkspecials', 'wine']"
"['real', 'smooth', 'grown', 'night', 'grown', 'music', 'hookah', 'amp', 'drink', 'special', 'available', 'pitchcontroldjs', 'drinkspecials']"
"['real', 'smooth', 'grown', 'night', 'grown', 'music', 'hookah', 'amp', 'drink', 'special', 'available', 'pitchcontroldjs', 'drinkspecials']"
"['gameday', 'join', 'u', 'today', 'game', 'we', 've', 'get', 'drinkspecials', 'foodspecials', 'sec', 'big10']"
"['halloween', 'party', 'time', 'prize', 'best', 'costume', 'drinkspecials', 'livedj', 'duh', 'chico', 'mexican', 'grill']"
"['one', 'request', 'song', 'play', 'too', 'supportlocal', 'drinkspecials', 'pianobar', 'yyc']"
"['new', 'drink', 'special', 'pumpkin', 'golden', 'milk', 'real', 'organic', 'pumpkin', 'pur', 'e', 'frontiertradingpost', 'drinkspecials']"
"['come', 'saturday', 'night', 'great', 'seat', 'still', 'available']"
"['check', 'happy', 'hour', 'special', 'monday', 'friday', '11am', '6pm', 'foodspecials', 'beerspecials', 'drinkspecials']"
"['seasonal', 'handcraft', 'margarita', 'tanteo', 'handcraftedmargaritas', 'handcrafteddrinks', 'drinkspecials']"
"['today', 's', '6', 'feature', 'martini', 'ghostbuster', 'martini', 'drinkspecials', 'catty', 'cattycornerneighborhoodpub']"
"['wednesday', 'trivi', 'tonight', 'win', 'prize', 'trivia', 'drinkspecials', 'prize']"
"['libra', 'season', 'mondaynight', 'football', 'hookah', 'drinkspecials', 'kitchen', 'cirocboyzsouth', '4thquarterboyzinc']"
