0
"['daisy', 'daisyhoyland', 'fun', 'sassy', 'today', 'horseride', 'horseriders', 'horseriding', 'horseback']"
"['holly', 'try', 'lorraine', 'afternoon', 'horseride', 'horseriders', 'horseriding', 'horseback', 'horsebackriding']"
"['liz', 'richard', 'happy', 'back', 'saddle', 'today', 'horseride', 'horseriders', 'horseriding', 'horseback']"
"['harvey', 'oakley', 'back', 'horsey', 'fun', 'horseride', 'horseriders', 'horseriding', 'horseback']"
"['dyk', 'waltdisney', 'guess', 'guy', 'horseback', 'mistaken', 'centaur', 'like', 'chiron', 'cute', 'sex', 'w', 'animal']"
"['horseback', 'rid', 'farm', 'ranch']"
"['much', 'horse', 'carry', 'rider', 'weight', 'limit']"
"['horseback', 'rid', 'italy', 'horse', 'animalcrossing']"
"['gaucho', 'along', 'ride', 'horseback', 'expedition', 'rugged', 'mountain', 'argentine', 'patagonia', 'provide', 'j']"
"['backstretch', 'girl', 'timeless', 'tale', 'friendship', 'forge', 'horseback', 'test', 'tragedy', 'bound', 'love']"
"['augarten', 'riyadoro', 'horseback', 'rid', 'w']"
"['gaucho', 'along', 'ride', 'horseback', 'expedition', 'rugged', 'mountain', 'argentine', 'patagonia', 'provide', 'j']"
"['good', 'thing', 'come', 'hustle']"
"['wquaffle', 'hay', 'wait', 'whip', 'horseback', 'racist', 'now', 'hay', 'pun', 'intend']"
"['great', 'dailycaller', 's', 'shelbytalcott', 'the', 'dhs', 'sec', 'say', 'investigation', 'horseback', 'border', 'patrol']"
"['gaucho', 'along', 'ride', 'horseback', 'expedition', 'rugged', 'mountain', 'argentine', 'patagonia', 'provide', 'j']"
"['gaucho', 'along', 'ride', 'horseback', 'expedition', 'rugged', 'mountain', 'argentine', 'patagonia', 'provide', 'j']"
"['shotsofkylie', 'kylie', 'kendall00', 'dashonlinecom', 'love', 'horseback', 'france']"
"['backstretch', 'girl', 'timeless', 'tale', 'friendship', 'forge', 'horseback', 'test', 'tragedy', 'bound', 'love']"
"['sundowner', 'good', 'company', 'visit', 'drakensberg', 'travel', 'explore', 'activity', 'trail', 'horseback']"
"['gaucho', 'along', 'ride', 'horseback', 'expedition', 'rugged', 'mountain', 'argentine', 'patagonia', 'provide', 'j']"
"['boff', 'boff', 'fun', 'favourite', 'horseride', 'horseriders', 'horseriding', 'horseback']"
"['backstretch', 'girl', 'timeless', 'tale', 'friendship', 'forge', 'horseback', 'test', 'tragedy', 'bound', 'love']"
"['lucy', 'suzie', 'try', 'spirit', 'jasper', 'morning', 'horseride', 'horseriders', 'horseriding', 'horseback']"
"['gaucho', 'along', 'ride', 'horseback', 'expedition', 'rugged', 'mountain', 'argentine', 'patagonia', 'provide', 'j']"
"['okay', 'vega', 'good', 'u', 'jasmine', 'holman']"
"['backstretch', 'girl', 'timeless', 'tale', 'friendship', 'forge', 'horseback', 'test', 'tragedy', 'bound', 'love']"
