0
"['diego', 'wish', 'good', 'morning', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy']"
"['hundeland', 'today', 'enjoy', 'even', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth']"
"['see', 'tomorrow', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy', 'dogislove']"
"['i', 'm', 'jaimie', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy', 'hund', 'hundeliebe']"
"['i', 'm', 'bruno', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy', 'hund', 'hundeliebe']"
"['i', 'm', 'grunpy', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogislove', 'trustrespectlove', 'hundeland']"
"['i', 'm', 'lucy', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy', 'dogislove']"
"['mila', 'wish', 'good', 'morning', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy']"
"['assim', 'super', 'natural', 'dog', 'dogsofinstaworld', 'dog', 'dog', 'of', 'instagram', 'dogstagram', 'dog', 'of', 'world', 'doglovers']"
"['hundeland', 'today', 'enjoy', 'even', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth']"
"['see', 'monday', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy', 'hund', 'hundeliebe']"
"['i', 'm', 'lucy', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy', 'hund', 'hundeliebe']"
"['jimmy', 'yuma', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogislove', 'trustrespectlove']"
"['another', 'dogparty', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'dogislove']"
"['sam', 'tilda', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy', 'dogislove']"
"['i', 'm', 'ludwig', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy', 'hund', 'hundeliebe']"
"['berti', 'wish', 'good', 'morning', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy']"
"['hundeland', 'today', 'enjoy', 'even', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth']"
"['see', 'tomorrow', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy', 'hund']"
"['i', 'm', 'clooney', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy', 'hund', 'hundeliebe']"
"['another', 'dogparty', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy', 'hund']"
"['i', 'm', 'lilly', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy', 'dogislove']"
"['i', 'm', 'jacko', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy', 'hund', 'hundeliebe']"
"['i', 'm', 'nala', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy', 'hund', 'hundeliebe']"
"['finja', 'wish', 'good', 'morning', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy']"
"['see', 'tomorrow', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy', 'hund']"
"['i', 'm', 'kati', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy', 'hund', 'hundeliebe']"
"['i', 'm', 'barnie', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy', 'dogislove']"
"['i', 'm', 'charly', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy', 'dogislove']"
"['i', 'm', 'thembi', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy', 'dogislove']"
"['i', 'm', 'buddy', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy', 'hund', 'hundeliebe']"
"['i', 'm', 'ayko', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy', 'hund', 'hundeliebe']"
"['loki', '1st', 'day', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy', 'hund']"
"['see', 'tomorrow', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy', 'dogislove']"
"['i', 'm', 'ava', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy', 'hund', 'hundeliebe']"
"['another', 'dogparty', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy', 'hund']"
"['i', 'm', 'ruby', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy', 'hund', 'hundeliebe']"
"['i', 'm', 'rosi', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy', 'hund', 'hundeliebe']"
"['i', 'm', 'rocket', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy', 'hund', 'hundeliebe']"
"['jaimie', 'wish', 'good', 'morning', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world', 'dogsearth', 'puppy']"
"['week', 'video', 'let', 'dog', 'fun', 'doglover', 'ilovemydog', 'instadog', 'meinhund', 'dog', 'of', 'world']"
