0
"['rain', 'audobon', 's', 'yellow', 'rumped', 'warbler', 'enjoys', 'bath', 'bird', 'matter', 'william', 'b', 'pond', 'arden', 'pond']"
"['killdeer', 'wing', 'brighter', 'day', 'bird', 'matter', 'american', 'river', 'trail']"
"['it', 's', 'safe', 'come', 'up', 'californiaquail', 'bird', 'matter', 'american', 'river', 'trail']"
"['pair', 'great', 'yellowlegs', 'put', 'incredible', 'courtship', 'display', 'photographer', 's', 'dream', 'bird', 'matter', 'ame']"
"['herring', 'gull', 'check', 'pink', 'leg', 'score', 'fish', 'arrive', 'winter', 'bird', 'matter', 'a']"
"['case', 'wonder', 'green', 'heron', 'eat', 'bird', 'matter', 'american', 'river', 'trail']"
"['northern', 'harrier', 'cruise', 'american', 'river', 'parkway', 'bird', 'matter', 'american', 'river', 'trail']"
