0
"['much', 'horse', 'carry', 'rider', 'weight', 'limit']"
"['wow', '100', 'qualifies', 'activeliving', 'cowboy', 'yas', 'amazingseniors', 'horsemanship', 'olderadults', 'golden', 'circle']"
"['new', 'podcast', 'dr', 'steve', 'peter', 'horse', 'brain', 'scientist', 'spreaker', 'horsebrains', 'horsemanscorner', 'horsemanship']"
"['what', 's', 'big', 'ride', 'horse']"
"['pferde', 'horse', 'horsemanship', 'reitpferd', 'cavallo', 'cavaliere']"
"['watch', 'bettingguru', 'horseracing', 'horsemanship', 'horse', 'horseriding', 'horsepower', 'rosecraft', 'new', 'igtv', 'fyp', 'yout']"
