0
"['write', 'forgotten', 'isabel', 'allendeanna', 'elizabeth', 'judd']"
"['en', 'harasurama', 'con', 'estivenjbc', 'studquarterback', 'hipismo', 'caballos', 'turf', 'horsetraining', 'carrerasdecaballos']"
"['a', 'iremos', 'ma', 'ana', 'a', 'ligar', 'hipismo', 'caballos', 'turf', 'horsetraining', 'carrerasdecaballos', 'jinete', 'horsebreezing']"
"['horsetraining', 'horse', 'horse', 'rope', 'ropinghorse', 'spin', 'spin']"
"['education', 'horse', 'learn', 'may', 'help', 'keep', 'vet', 'safe', 'horsetraining']"
"['dark', 'sky', 'loom', 'gallop', 'horse', 'horsetraining', 'racehorse', 'darkskies', 'stablelife', 'gallop', 'horsephoto']"
"['look', 'forward', 'new', 'week', 'horse', 'horsetraining', 'racehorse', 'stablelife', 'blackandwhite']"
"['s', 's', 'sunday', 'school', 'silouette', 'silouette', 'silouettephotography', 'horse', 'horse', 'horsetraining']"
