0
"['bergennh', 'ambulance', 'p2000', 'a1', '10182', 'rit', '134913', 'margrietlaan', 'bergen', 'nh']"
"['medemblik', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10108', 'rit', '134912', 'graaf', 'florislaan', 'medemblik']"
"['nijkerkgld', 'ambulance', 'p2000', 'a1', 'dia', 'brucknerlaantje', '3862tj', 'nijkerk', '148035']"
"['spierdijk', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10107', 'rit', '134910', 'bobeldijk', 'spierdijk']"
"['heerhugowaard', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10182', 'rit', '134909', 'onyx', 'heerhugowaard']"
"['denhelder', 'ambulance', 'p2000', 'a1', '10119', 'rit', '134908', 'dommelstraat', 'den', 'helder']"
"['like', 'good', 'heist', 'movie', 'seem', 'potential']"
"['hoornnh', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10111', 'rit', '134900', 'sportcentrum', 'hoorn', 'holenweg', 'hoorn', 'nh']"
"['heerhugowaard', 'ambulance', 'p2000', 'a1', '10185', 'rit', '134894', 'nachtegaalstraat', 'heerhugowaard']"
"['heiloo', 'ambulance', 'p2000', 'a1', '10182', 'rit', '134887', 'magentazorg', 'nieuw', 'varne', 'gaanderij', 'heiloo']"
"['enkhuizen', 'ambulance', 'p2000', 'a1', '10102', 'rit', '134886', 'meester', 'fluitmanstraat', 'enkhuizen']"
"['alkmaar', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10187', 'rit', '134884', 'kwerenpad', 'alkmaar']"
"['harderwijk', 'ambulance', 'p2000', 'a2', 'ambu', '06188', 'harderwijk', 'rit', '102850']"
"['denhelder', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10119', 'rit', '134875', 'leendert', 'den', 'bergerstraat', 'den', 'helder']"
"['ermelo', 'ambulance', 'p2000', 'a2', 'ambu', '06182', 'dia', 'ermelo', 'rit', '102848']"
"['enkhuizen', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10111', 'rit', '134872', 'venuslaan', 'enkhuizen']"
"['zwaag', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10101', 'rit', '134865', 'hoefblad', 'zwaag']"
"['ermelo', 'ambulance', 'p2000', 'a1', 'ambu', '06184', 'ermelo', 'rit', '102836']"
"['putten', 'ambulance', 'p2000', 'a1', 'ambu', '06182', 'putten', 'rit', '102835']"
"['schagen', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10184', 'rit', '134858', 'sportpark', 'groenoord', 'wilgenlaan', 'schagen']"
"['breezand', 'ambulance', 'p2000', 'a1', '10115', 'rit', '134856', 'tulpenstraat', 'breezand']"
"['heerhugowaard', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10186', 'rit', '134854', 'aquamarijn', 'heerhugowaard']"
"['alkmaar', 'ambulance', 'p2000', 'a1', '10182', 'rit', '134851', 'hofplein', 'alkmaar']"
"['valentijn', 'waltmans', 'spreker', 'bij', 'meldkamercentralisten', '2022', 'ambulancemasterclass', 'ambulance', 'masterclass', 'medisch']"
"['we', 're', 'grateful', 'all', 'nh', 'ambulance', 'nhsheroes', 'thankyounhs', 'nhsworkers']"
"['heerhugowaard', 'ambulance', 'p2000', 'a1', 'dia', 'ja', '10187', 'rit', '134838', 'zonnehof', 'heerhugowaard']"
"['enkhuizen', 'ambulance', 'p2000', 'a1', '10101', 'rit', '134832', 'wooncomplex', 'senioren', 'herfstzon', 'romeinstraat', 'enkhuizen']"
"['harderwijk', 'ambulance', 'p2000', 'b1', 'ambu', '06184', 'harderwijk', 'rit', '102812']"
"['harderwijk', 'ambulance', 'p2000', 'b1', 'ambu', '06164', 'harderwijk', 'rit', '102811']"
"['warmenhuizen', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10189', 'rit', '134820', 'dergmeerweg', 'warmenhuizen']"
"['putten', 'ambulance', 'p2000', 'a1', 'ambu', '06182', 'putten', 'rit', '102805']"
"['putten', 'ambulance', 'p2000', 'a1', 'ambu', '06182', 'putten', 'rit', '102805']"
"['andijk', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10101', 'rit', '134818', 'lange', 'deelelaan', 'andijk']"
"['wognum', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10111', 'rit', '134816', 'kerkweg', 'wognum']"
"['alkmaar', 'ambulance', 'p2000', 'a1', 'dia', 'ja', '10182', 'rit', '134812', 'bergerweg', 'alkmaar']"
"['nijkerkgld', 'ambulance', 'p2000', 'a1', 'n301', 'li', 'berencamperweg', 'nijkerk', '147929']"
"['tuitjenhorn', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10185', 'rit', '134802', 'dorpsstraat', 'tuitjenhorn']"
"['heerhugowaard', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10187', 'rit', '134800', 'uranuslaan', 'heerhugowaard']"
"['ermelo', 'ambulance', 'p2000', 'a1', 'ambu', '06182', 'ermelo', 'rit', '102783']"
"['grootebroek', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10104', 'rit', '134780', 'schaperstraat', 'grootebroek']"
"['ambulance', 'community', 'deal', 'difficult', 'situation', 'every', 'day', 'huge', 'impact', 'their']"
"['denhelder', 'ambulance', 'p2000', 'a1', '10118', 'rit', '135064', 'kerkgracht', 'den', 'helder']"
"['wezep', 'ambulance', 'p2000', 'a2', 'ambu', '06185', 'wezep', 'rit', '102966']"
"['wezep', 'ambulance', 'p2000', 'a2', 'ambu', '06185', 'wezep', 'rit', '102966']"
"['harderwijk', 'ambulance', 'p2000', 'a1', 'ambu', '06186', 'harderwijk', 'rit', '102964']"
"['denhelder', 'ambulance', 'p2000', 'a2', 'dia', 'ja', '10115', 'rit', '135059', 'ambachtsweg', 'den', 'helder']"
