0
"['post', 'withregram', 'mytooles', 'mejor', 'compa', 'era', 'de', 'viajes', 'tool', 'milwaukeegloves', 'toolsofthetrade']"
"['list', 'water', 'street', 'loftsoffered', '227500', 'loft', 'chic', 'timber', 'creamcitybrick', 'milwaukee']"
"['great', 'funday', 'sunday', 'gym', 'young', 'player', 'basketball', 'milwaukee', 'ymca']"
"['mexicanfiestawi', 'diademuertos', 'whsftraditions', 'mke', 'milwaukee', 'visitmilwaukee']"
['apply']
"['milwaukee', 'lighthouse', 'offer', 'panoramic', 'view', 'milwaukee', 'lighthouse', 'travelwi']"
"['all', 'time', 'milwaukee', 'buck', 'squad', 'scary', 'would', 'add', 'remove', 'someone', 'lineup', 'buck', 'milwaukee']"
"['sixth', 'man', 'milwaukee', 'giannis', 'comedy', 'warriorsfan', 'love', 'giannis', 'thoughh', 'nba']"
"['gutter', 'cleaning', 'gutter', 'guard', 'se', 'wisconsin']"
"['gutter', 'cleaning', 'gutter', 'guard', 'se', 'wisconsin']"
"['feel', 'alive', 'tell', 'joke', 'alive', 'audience', 'milwaukee']"
"['feel', 'alive', 'tell', 'joke', 'alive', 'audience', 'milwaukee']"
"['gutter', 'cleaning', 'gutter', 'guard', 'se', 'wisconsin']"
"['heroin', 'proof', 'kid']"
"['home', 'depot', 'hack', 'thon', 'deal', 'frenzy', 'tooldeals', 'homedepot', 'makita', 'milwaukee', 'hack', 'suburbanbeard']"
"['heroin', 'proof', 'kid']"
"['trick', 'treat', 'time', 'metro', 'area', 'germantownwi', 'brookfieldwi', 'mequonwi', 'milwaukee', 'sussexwi']"
"['heroin', 'proof', 'kid']"
"['milwaukee', '2691', '22', '18', 'volt', 'compact', 'drill', 'impact', 'driver', 'combo', 'kit']"
"['hustle', 'amp', 'bustle', 'milwaukee', 'mke', 'gameboy', 'gameboycamera', 'gbc', 'retro', 'retrocollective', 'videogames', 'nintendo']"
"['gutter', 'cleaning', 'gutter', 'guard', 'se', 'wisconsin']"
"['feel', 'alive', 'tell', 'joke', 'alive', 'audience', 'milwaukee']"
"['feel', 'alive', 'tell', 'joke', 'alive', 'audience', 'milwaukee']"
"['gutter', 'cleaning', 'gutter', 'guard', 'se', 'wisconsin']"
"['heroin', 'proof', 'kid']"
"['mrca', 'conference', 'milwaukee', 'offering', 'certification', 'course', 'stop', 'booth', '516', 'say', 'hello', 'eve']"
"['heroin', 'proof', 'kid']"
"['milwaukee', 'female', 'ft', 'show', 'milwaukee']"
"['we', 're', 'worthy']"
"['milwaukee', 'brewer', 'nike', 'half', 'zip', 'pullover', 'navy']"
"['milwaukee', 'brewer', 'christian', 'yelich', 'nike', 'jersey', 'cream']"
