Here’s to the staff at the @Shaftesbury1911 who always land on the side of right. #lovewins 
@YuGiOhCOTD Prickle fairy and Insect Princess (from the same episode) are lesbians #lovewins https://t.co/CDLARskjcF 
My opinion on self-love? Hmm... I think making mistakes is okay.I'm proud of you! ❤️ #spoileralert #lovewins 
It's #waytooearly to be awake but then I see the Princess Mako story #lovewins 
'And you can want who you want... Boys and boys and girls and girls.' #lovewins #FINALLY 
@JerryGracio 🐜🐜🐜🐜🐜🐜🐜🐜🐜🐜🐜🐜🐜🐜Congratulations on your 17th! Cheers to more years sainyong dalawa. #lovewins 
Living my best life so happy !!! today has been so fun. :) @dream @MrBeast @jack @Twitter I love you so much! #lovewins 
Here’s to the staff at the @Shaftesbury1911 who always land on the side of right. #lovewins 
I just wanted to say that you are wonderful!  Keep doing you champ!  ❤️❤️❤️ #spoileralert #lovewins 
McDonalds gave me two pies instead of one during LGBTQ+ History Month #lovewins 
I think the best day will be when we no longer talk about being gay or straight. #samelove #lovewins… https://t.co/2sf2xT48fu 
Here’s to the staff at the @Shaftesbury1911 who always land on the side of right. #lovewins 
ignore the next few tweets im addinj some more images to the bot #lovewins 
YESSS!!! Have you experienced an act of brotherhood lately or offered one to someone else?#lovewins #weareone… https://t.co/tPHbHdDkke 
Every little bit makes a difference❣️...#wednesdaywisdom #love #llblife #differencemaker #lovewins #limitless… https://t.co/g7DnABRD6x 
Self-love tip: no one's life is as perfect as their Instagram feed.I've got your back! 😘 #spoileralert #lovewins 
#lovewins waiting on my #king … 💓💓💓 #lovelanguage #stayathome https://t.co/QU0WdeEA4X 
Who’s excited for the new stuff @DORIANELECTRA’s been teasing? 🌀⚔️🏳️‍🌈💧🐾 #lovewins #akasins #furrypride… https://t.co/4tFDFe5tdi 
