MILE HIGH#latinx #dancehall #pop https://t.co/cIoRtFb59n 
MILE HIGH#latinx #dancehall #pop https://t.co/cIoRtFb59n 
MILE HIGH#latinx #dancehall #pop https://t.co/cIoRtFb59n 
@Variety I don’t care if we’re #latino #hispanic #brown or #latinx we deserve more recognition in Hollywood than ev… https://t.co/jEaqVrCQHq 
@cameron_kasky Cam is a racist.  He hates #latinx. 
DJ Fedez International Beatz Show https://t.co/NhhLz982jj #musica #radio #international #world #mundo #latinx… https://t.co/I1WeSAz0Q4 
What are you giving in some way to the members of your community? #DRARAQUELRUBIN #DRARAQUELRUBÍN #latinx… https://t.co/8CLqiooVik 
@TanyaSaracho Hollywood does not respect enough to us #latinx filmmakers &amp; artists because of the negative stereoty… https://t.co/iaTPfJojws 
