BlackTradeLines Marketing &amp; Advertising - Must Watch!  https://t.co/ImHqoK5EQc#staywoke 
Community Development Projects - Truck Project  #rebuildhttps://t.co/nKcJwOf1AW #soulfood #staywoke 
Lmfao this is what I mean...sis thinks she’s a starter whole time she’s the equipment manager 🤦🏽‍♀️! #staywoke https://t.co/ZBQisDeieG 
Actually love the lines this week. HUGE week for underdogs. Picks coming later #value #staywoke 
Community Development Projects - Bus Project @immodernafricanhttps://t.co/3ImW8cVQ93  #blacksintech #staywoke 
Dk still haven’t had a good game against elite corners #staywoke 
Build ur community https://t.co/HAxRR9Gnjs #staywoke https://t.co/l1IvQnyIIO 
Mfs show you their real intentions everyday. #staywoke silly 
@dacoulter @BrittnyAnderso #youngleaderscouncil #staywoke #humanrights #strongerbc #FOI #bcyouth #cdnpoli @WWF… https://t.co/pyOLZAjK0M 
if you start to notice ur woman only “getting cute “ after yall disagreements to go out with “Friends” 🚩🚩🚩… #staywoke 
Community Development Projects - Truck Project  #rebuildhttps://t.co/nKcJwOf1AW #staywoke #BlackTradeLines 
