@Felecia94349072 #covid19 #NoVaccinePassports #NoVaccineMandates #COVID19vaccines #maga #kag #trump #wokeaf… https://t.co/v4tsLg5UD6 
@FloydMayweather #wokeaf #kagRight on brother! People who want 2 murder Unever give U a choiceunless its 2 choo… https://t.co/nO2OmyOv5w 
@Felecia94349072 #covid19 #NoVaccinePassports #NoVaccineMandates #COVID19vaccines #maga #kag #trump #wokeaf… https://t.co/v4tsLg5UD6 
@FloydMayweather #wokeaf #kagRight on brother! People who want 2 murder Unever give U a choiceunless its 2 choo… https://t.co/nO2OmyOv5w 
@Felecia94349072 #covid19 #NoVaccinePassports #NoVaccineMandates #COVID19vaccines #maga #kag #trump #wokeaf… https://t.co/v4tsLg5UD6 
@FloydMayweather #wokeaf #kagRight on brother! People who want 2 murder Unever give U a choiceunless its 2 choo… https://t.co/nO2OmyOv5w 
@springsteen @BarackObama Do Not support @springsteen ... his fans are all racist white folks.#wokeaf… https://t.co/nWBciL7mba 
@Felecia94349072 #covid19 #NoVaccinePassports #NoVaccineMandates #COVID19vaccines #maga #kag #trump #wokeaf… https://t.co/v4tsLg5UD6 
@FloydMayweather #wokeaf #kagRight on brother! People who want 2 murder Unever give U a choiceunless its 2 choo… https://t.co/nO2OmyOv5w 
Twitter's gonna check the facts on covid while I watch someones asshole get fisted.. #wokeaf #TheNewNormal 
@ArielleScarcell Shit I'm both! 🤣 can't wait to hear about the first self loathing loser saying his oppressed for that shit bahahaha #wokeaf 
@springsteen @BarackObama Do Not support @springsteen ... his fans are all racist white folks.#wokeaf… https://t.co/nWBciL7mba 
