0
"['sandy', 'review', 's', 'grand', 'cadaver', 'into', 'maw', 'death', 'swedish', 'old', 'school', 'deathmetal', 'release', '29th', 'october', 'v']"
"['god', '3', 'killer', 'deathmetal', 'album', 'yesterday', 'rugya', 'hate', 'godendshere', 'aeon', 'resurgence', 'massacre']"
"['make', 'death', 'thrashy', 'riff', 'ya', 'think']"
"['contrition', 'broken', 'mortal', 'coil']"
"['abomination', 'abomination', 'full', 'album', '1990', 'usa']"
"['conjureth', 'majestic', 'dissolve', 'full', 'album', 'usa', '2021']"
"['vocalist', 'smash', 'way', 'vocal', 'track', 'new', 'album', 'metal', 'deathmetal', 'blackmetal']"
"['perhaps', 'would', 'inner', 'sleeve', 'deathmetal', 'album', 'cover', 'nightcafestudio']"
"['i', 'll', 'suck', 'dry', 'meant', 'blood', 'metal', 'metalgirl', 'metalheadgirl', 'deathmetal', 'goth', 'gothgirl']"
"['blk', 'ops', 'cave', 'bastard', 'blkops', 'cavebastard', 'accidentpronerecords', 'deathmetal', 'noise', 'doommetal', 'doom']"
"['impaler', 'imminence', 'final', 'punishment', 'ffo', 'benediction', 'massacre']"
"['apophis', 'tear', 'wall', 'germany', '1998']"
"['infecdead', 'soul', 'perforation', 'germany', 'ep', '2003']"
"['devoid', 'thought', 'sidereal', 'necrosis', 'ffo', 'blood', 'incantation', 'tomb', 'mold', 'timeghoul']"
"['disgrace', 'finland', 'dark', 'paradise', '1992']"
"['shiva', 'release', 'planet', 'eater']"
"['new', 'immaculate', 'infection', 'review', 'vm', 'underground', 'fanzine', 'mudlung', 'immaculateinfection', 'deathmetal']"
"['today', 's', 'long', 'wait', 'delivery', 'relapserecords', 'deathmetal', 'klassik', 'vinyladdict', 'tshirtcollection']"
"['new', 'podcast', 'make', 'thing', 'clear', 'be', 'lakor', 'spreaker', 'australia', 'belakor', 'deathmetal']"
"['arrive', 'soulgutter', 'stead', 'newalbum', 'comingsoon', 'cd', 'merch', 'merchandise', 'deathmetal', 'blackmetal']"
"['mandythefilm', 'deathmetal', 'vibe', 'halloween']"
"['october', '26th', '1993', 'malevolent', 'creation', 'release', 'album', 'stillborn']"
"['mail', 'day', 'yesterday', 'deathmetal', 'cdcollection']"
"['rise', 'kronos', 'boil', 'alive']"
"['spooky', 'vol', 'ii', 'acidwitch', 'vaultwraith', 'doommetal', 'deathmetal', 'metal', 'themetalheadbox']"
