0
"['kongregation', 'subscribe', 'youtube', 'check', 'video', 'badguy', 'billieeilish']"
"['wizardium', 'thebinancenft', 'binancechain', 'dappradar', 'playtoearngames', 'gamefi', 'official', 'badguy', 'season', 'elt', 'elementblack', 'nft']"
"['3mcollision', 'badguy', 'season', 'elt', 'elementblack', 'nft']"
"['theruneranger', 'badguy', 'season', 'elt', 'elementblack', 'nft']"
"['kanishk241', 'mimirtoken', 'badguy', 'season', 'elt', 'elementblack', 'nft']"
"['cryptadyct', 'okex', 'godsunchained', 'youtube', 'badguy', 'season', 'elt', 'elementblack', 'nft']"
"['bitvictory', 'badguy', 'season', 'elt', 'elementblack', 'nft']"
"['bitbuy', 'eltblack', 'badguy', 'season', 'elt', 'elementblack', 'nft']"
"['thecollectivego', 'badguy', 'season', 'elt', 'elementblack', 'nft']"
"['samuraigamefi', 'badguy', 'season', 'elt', 'elementblack', 'nft']"
"['aniffzazali', 'badguy', 'season', 'elt', 'elementblack', 'nft']"
"['tryhardsio', 'gd10v', 'badguy', 'season', 'elt', 'elementblack', 'nft']"
"['yousufchoudhur3', 'gaiaeverworld', 'boxmining', 'badguy', 'season', 'elt', 'elementblack', 'nft']"
"['hero20210830', 'badguy', 'season', 'elt', 'elementblack', 'nft']"
"['capedpodcasters', 'badguy', 'season', 'elt', 'elementblack', 'nft']"
"['cointelegraph', 'badguy', 'season', 'elt', 'elementblack', 'nft']"
"['et', 'ibulibal', 'loomdart', 'cryptocapo', 'boxmining', 'pangxuekai', 'cz', 'binance', 'badguy', 'season', 'elt', 'elementblack', 'nft']"
"['robowolf8', 'coingecko', '0xpolygon', 'badguy', 'season', 'elt', 'elementblack', 'nft']"
"['give', 'everything', 'you', 'll', 'always', 'badguy']"
"['say', 'something', 'i', 'm', 'badguy', 'hm']"
"['ah', 'molly', 'amp', 'bother', 'nobody', 'badguy']"
"['billieeilish', 'vevo', 'billie', 'eilish', 'stun', 'love', 'song', 'princess', 'time', 'element', 'badguy']"
"['im', 'baaaaad', 'guy', 'gay', 'badguy', 'mexicali', 'gaymexican']"
"['theactual7am', 'fish', 'badguy']"
"['anyone', 'else', 'see', 'video', 'youtube', 'recommend', 'billieeilish', 'badguy', 'youtube', 'baddiehalloween']"
"['sculptober', '2021', 'day', '21', 'dunce', 'sculptober', 'sculptober2021', '3d', 'dunce', 'zbrush', 'sculpt', 'badguy']"
"['billieeilish', 'eilishfragrance', 'saw', 'twitter', 'keep', 'tag', 'badguy', 'anything', 'eltblack', 'and']"
"['billie', 'eilish', 'bad', 'guy', 'mv', 'reverse', '4x']"
