0
"['great', 'soul', 'help', 'u', 'spite', 'hurricane', 'inside', 'them', 'inkologyquote', 'lifelessons', 'quotesgram']"
"['here', 's', 'motivation', 'week', 'gem', 'bestinodisha', 'bhubaneshwar', 'quotesofinstagram', 'quotesgram']"
"['50', 'best', 'quote', 'love', 'quote', 'quote']"
"['yes', 'kind', 'surprise', 'among', 'favorite', 'marieharmonyinaction', 'musicgram', 'quotesgram']"
"['73', 'best', 'famous', 'quote', 'life', 'journey', 'quote', 'quote']"
"['oscar', 'wilde', 'quote', 'quote', 'quote']"
"['oscar', 'wilde', 'quote', 'quote', 'quote']"
"['afraid', 'get', 'hurt', 'reason', 'inkologyquote', 'lifelessons', 'quotesgram', 'quotestoliveby']"
"['here', 's', 'motivation', 'week', 'gem', 'bestinodisha', 'bhubaneshwar', 'quotesofinstagram', 'quotesgram']"
"['always', 'need', 'huge', 'courage', 'sometimes', 'little', 'spark', 'enough', 'lifelessons', 'quotesgram', 'quotestolive']"
