0
"['psilocybe', 'lsd', 'to', 'boldly', 'go', 'one', 'go', 'quaaack']"
"['trekkiebrie', 'psilocybe', 'lsd', 'to', 'boldly', 'go', 'one', 'go', 'quaaack']"
"['exactly', 'think', 'mushroom', 'psychedelics', 'trip', 'hike', 'forage', 'psilocybe', 'cyanescens']"
