0
"['catatonia', 'suffocation']"
"['play', 'machinehead', 'burnmyeyes', 'music', 'heavymetal', 'metal', 'extrememetal', 'extrememusic', 'groovemetal']"
"['new', 'review', 'necrofier', 'prophecy', 'eternal', 'darkness', 'seasonofmist', 'blackmetal', 'manofmuchmetal', 'extrememetal']"
"['beast', 'mode', 'unleash', 'fury', 'run', 'metal', 'run', 'workout', 'extrememetal', 'playlist', 'nowplaying', 'music4running']"
"['von', 'goat', 'septic', 'illumination', '2010', 'blackmetal', 'extrememetal', 'vinyl', 'metalcollection']"
"['fanzine', '6', 'disponible4', 'port', 'compris', 'worldwide', 'cryptofdrgore', 'metalminded', 'extrememetal', 'fanzine', 'deathmetal']"
"['happy', 'friday', 'metalhead', 'deathmetal', 'extrememetal']"
"['king', 'love', 'halloween', 'kingdiamond', 'halloween', 'mercyfulfate', 'blackmetal', 'deathmetal', 'heavymetal', 'extrememetal']"
"['music', 'available', 'stream', 'spotify', 'good', 'platform', 'blackmetal', 'extrememetal']"
"['tower', 'extreme', 'metal', 'cradleoffilth', 'blackmetal', 'extrememetal', 'darkmusic', 'heavyartillery', 'fantasy', 'gothic']"
"['bleeeurgh', 'nowplaying', 'autopsy', 'macabreeternal', 'deathmetal', 'extrememetal', 'peacevillerecords']"
"['new', 'music', 'primary', 'animal', 'soul', 'metal', 'extrememetal', 'deathmetal', 'music', 'digitalmusic', 'spotify', 'itunes', 'deezer']"
