0
"['thats', 'dip', 'lake', 'nbaplayoffs', 'nbanews', 'nbabasketball', 'nba', 'lebronjames', 'score']"
"['basketball', 'nba', 'sport', 'ballislife', 'k', 'lebronjames', 'basket', 'lakers', 'nike', 'sport', 'bball', 'nbabasketball']"
"['basketballtraining', 'lebronjames', 'champion', 'nbabasketball', 'basketballislife', 'dunk', 'lebron', 'hoop', 'kobebryant']"
"['nba', 'youth', 'th', 'nbabasketball']"
"['sezondan', 'beklentimizi', 'ilk', 'ma', 'n', '2', 'periyodunda', 'kestik', 'ancak', 'hayat', 'devam', 'ediyor', 'nbabasketball', 'ilovethisgame']"
"['bensimmons25', 'left', 'alone', 'figure', 'mental', 'state', 'poeple', 'unfair', 'nbabasketball']"
